rah,decd,mag,jh,zphot,arxiv,author,ra,dec,jname,zspec,field,jmag,hmag,id_zf,mass,sn,s11,muv,zeazy,mu,beta,ezphot,emuv,ebeta,logm,Muv,F150W,F200W,photz_2.5,photz_16,photz_84,photz_97.5,tform_16,tform_50,tform_84,stellar_mass_16,stellar_mass_50,stellar_mass_84,robust,zphot2,mag444,zerr,mptid,zplo,zphi,zserr,zflag,Te,Te_err,logO2pp,logO2pp_err,logO2p,logO2p_err,logOH,logOH_err,zperr,NIRCam_ID,z_Spec_flag,z_PRISM,z_spec_source,jades_id,Muv_err,beta_err,dv,dv_err,dchi2,pz,zphot_err,xi_Ha,nircam_id,gratings,zspec_err,beta_UV,beta_UV_err,beta_opt,beta_opt_err,m_uv,M_UV,z_ALT,n_lines_detected,zspec.,exptime,muv_err,emlines,id,count,F444W
00:14:00.09,-30:19:06.9,28.4,,8.93,2208.01612,Yuichi Harikane,3.500375,-30.31858,j001400.09m301906.90,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.50037499999999968&dec=-30.318583333333333&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-3,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.50037499999999968&dec=-30.318583333333333&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:00.27,-30:21:25.9,28.5,,10.19,2208.01612,Yuichi Harikane,3.501125,-30.35719,j001400.27m302125.90,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.50112499999999968&dec=-30.357194444444445&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-4,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.50112499999999968&dec=-30.357194444444445&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:00.83,-30:21:29.8,29.1,,9.08,2208.01612,Yuichi Harikane,3.503458,-30.35828,j001400.83m302129.80,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5034583333333338&dec=-30.35827777777778&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-8,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5034583333333338&dec=-30.35827777777778&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,6.79,2404.03576,Dale Kocevski,3.506422,-30.34596,j001401.54m302045.47,-1.000,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5064228&dec=-30.345965&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.94,0.14,0.87,0.04,27.07,-19.82,,,,,,,UNCOVER-3345,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5064228&dec=-30.345965&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.10967,Lorenzo Napolitano,3.507311,-30.34320,j001401.75m302035.52,,,,,,,,,-18.68,,1.55,-2.89,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5073118&dec=-30.343201&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,0.07,,,,,,,,,10.09,13130,0.13,[NeIV]2424,GLASS-z11-17225,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5073118&dec=-30.343201&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:02.49,-30:22:00.9,29.4,,9.89,2208.01612,Yuichi Harikane,3.510375,-30.36692,j001402.49m302200.90,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5103758&dec=-30.36691666666667&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-11,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5103758&dec=-30.36691666666667&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:02.52,-30:21:57.0,28.9,,10.32,2208.01612,Yuichi Harikane,3.510500,-30.36583,j001402.52m302157.00,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.51058&dec=-30.365833333333335&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-7,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.51058&dec=-30.365833333333335&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,4.36,2404.03576,Dale Kocevski,3.510632,-30.34197,j001402.55m302031.08,-1.000,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5106328&dec=-30.341966&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.96,0.06,0.38,0.03,26.52,-19.65,,,,,,,UNCOVER-2918,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5106328&dec=-30.341966&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:02.85,-30:22:18.6,26.6,,10.49,2208.01612,Yuichi Harikane,3.511875,-30.37183,j001402.86m302218.70,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.51187499999999948&dec=-30.371833333333335&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-1,6,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.51187499999999948&dec=-30.371833333333335&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:14:02.86,-30:22:18.61,,,10.56,2207.12356,Callum Donnan,3.511917,-30.37184,j001402.86m302218.70,,,,,,,,,,,,,,,,,-20.58,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5119166666666668&dec=-30.37183611111111&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698,6,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.5119166666666668&dec=-30.37183611111111&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
