id,ra,dec,gratings
aegis-2017005194,215.173556,53.065204,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005250,215.130473,53.03949,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005261,215.190054,53.081942,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005315,215.177159,53.077511,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005393,215.178519,53.085572,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005519,215.116785,53.056322,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005560,215.110136,53.056734,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005565,215.108424,53.056249,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005605,215.134426,53.079008,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005620,215.12846,53.075863,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005637,215.139672,53.08581,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005709,215.132242,53.089124,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005743,215.135627,53.095259,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005766,215.127159,53.092581,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005963,215.200008,53.040601,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006007,215.183701,53.034363,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006046,215.193005,53.045425,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006097,215.169329,53.034104,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006211,215.160324,53.036793,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006241,215.202511,53.067833,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006677,215.130442,53.050565,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006681,215.182577,53.086434,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006812,215.114777,53.04961,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006936,215.109146,53.055557,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007560,215.181885,53.079644,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007694,215.188874,53.027036,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007757,215.19397,53.045854,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007954,215.216431,53.073358,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008260,215.116272,53.063497,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008276,215.118332,53.060983,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008299,215.128861,53.05515,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008352,215.111908,53.059785,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008368,215.109726,53.060781,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008473,215.112137,53.05156,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008587,215.12732,53.073472,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008949,215.19788,53.0424,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008950,215.138647,53.089878,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000601,215.116344,52.955651,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000680,215.108941,52.953701,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000729,215.112458,52.95862,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000800,215.120664,52.963351,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000828,215.109566,52.959934,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000856,215.116845,52.965719,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000868,215.118883,52.967332,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000975,215.10768,52.962495,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000982,215.113284,52.967289,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000983,215.105941,52.961501,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000992,215.121984,52.972968,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001021,215.106585,52.963401,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001025,215.11487,52.968704,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001077,215.116762,52.972493,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001134,215.095653,52.959289,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001187,215.115838,52.975701,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001225,215.092284,52.957711,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001228,215.092915,52.960688,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001274,215.108664,52.973279,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001283,215.091642,52.958705,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001284,215.132075,52.989392,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001286,215.10025,52.967273,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001309,215.128585,52.987973,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001327,215.086038,52.958168,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001399,215.12707,52.989636,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001489,215.130627,52.99292,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001540,215.121738,52.988367,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001591,215.139535,53.002744,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001592,215.131406,52.995739,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001623,215.141227,53.004415,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001651,215.138631,53.001039,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001677,215.098021,52.97445,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001708,215.093446,52.972581,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001765,215.08833,52.970492,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001770,215.121514,52.993859,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001829,215.091245,52.973637,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001855,215.111482,52.988319,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001899,215.09014,52.974612,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001972,215.115387,52.993808,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002014,215.120992,52.999213,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002047,215.119016,52.997298,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002253,215.103929,52.992934,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002522,215.109555,53.004259,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002541,215.104336,53.000742,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002600,215.054865,52.968114,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002614,215.11109,53.008192,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002687,215.095033,52.998827,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002737,215.053239,52.970722,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002743,215.095401,53.000099,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002754,215.095684,52.999375,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002798,215.056735,52.974036,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002816,215.052536,52.972271,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002841,215.105576,53.010224,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002859,215.096399,53.001692,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002896,215.099201,53.006843,f170lp-g235h f290lp-g395h clear-prism
aegis-2018002939,215.098386,53.005835,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003059,215.03957,52.968024,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003098,215.042954,52.971233,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003115,215.057822,52.981947,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003171,215.04533,52.974582,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003236,215.047572,52.977377,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003316,215.043738,52.977226,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003382,215.028825,52.968576,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003429,215.028097,52.969435,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003491,215.031805,52.97122,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003551,215.035335,52.977192,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003587,215.04082,52.982174,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003597,215.031273,52.974984,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003618,215.025064,52.971972,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003626,215.037046,52.980655,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003650,215.028311,52.97496,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003794,215.037642,52.984805,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003809,215.063518,53.003792,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003822,215.062031,53.002008,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003832,215.041078,52.988903,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003848,215.034109,52.984404,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003875,215.031036,52.9825,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003935,215.055854,53.001089,f170lp-g235h f290lp-g395h clear-prism
aegis-2018003945,215.034627,52.98735,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004053,215.056006,53.004529,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004077,215.067157,53.013026,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004103,215.047611,53.00048,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004144,215.066505,53.01501,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004185,215.063103,53.013234,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004263,215.063759,53.011337,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004267,215.05033,53.00747,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004291,215.063483,53.017306,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004323,215.067728,53.020192,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004326,215.041266,53.000996,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004346,215.057901,53.015702,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004358,215.039079,53.002773,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004360,215.056554,53.01351,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004466,215.042061,53.007971,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004521,215.045873,53.013854,f170lp-g235h f290lp-g395h clear-prism
aegis-2018004536,215.042687,53.011481,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005019,215.108412,52.956271,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005281,215.083321,52.963754,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005300,215.092612,52.971992,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005303,215.095354,52.974219,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005355,215.117561,52.994046,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005401,215.12278,53.000992,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005443,215.114593,52.99968,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005482,215.118065,53.005354,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005516,215.121211,53.009457,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005533,215.119259,53.009191,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005592,215.050758,52.965269,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005605,215.112053,53.009783,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005610,215.050764,52.967049,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005777,215.044227,52.978723,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005811,215.050565,52.986211,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005873,215.061111,52.998996,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005881,215.028917,52.976935,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005922,215.065045,53.005949,f170lp-g235h f290lp-g395h clear-prism
aegis-2018005980,215.053851,53.004372,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006055,215.041658,53.00424,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006106,215.044065,53.012021,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006588,215.125397,52.986862,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006747,215.094965,52.977711,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006862,215.108512,52.994404,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006899,215.109911,52.998224,f170lp-g235h f290lp-g395h clear-prism
aegis-2018006971,215.096112,52.995693,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007017,215.111584,53.011964,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007552,215.059509,53.018704,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007593,215.044574,53.012673,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007695,215.11675,53.00489,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007732,215.100312,52.977304,f170lp-g235h f290lp-g395h clear-prism
aegis-2018007939,215.058213,52.980332,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008077,215.044922,52.986207,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008173,215.067688,53.015458,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008231,215.095276,52.993726,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008304,215.093827,52.966413,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008365,215.118119,52.973107,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008409,215.084809,52.964898,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008480,215.050629,52.979718,f170lp-g235h f290lp-g395h clear-prism
aegis-2018008572,215.119843,52.962125,f170lp-g235h f290lp-g395h clear-prism
aegis-2018009047,215.089346,52.977837,f170lp-g235h f290lp-g395h clear-prism
aegis-2018009063,215.09468,52.998226,f170lp-g235h f290lp-g395h clear-prism
aegis-2018009065,215.100281,53.004532,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001016,215.011129,52.901183,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001078,215.012869,52.901438,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001086,215.005992,52.899311,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001100,215.012165,52.904488,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001121,215.011775,52.905211,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001129,215.016117,52.907893,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001139,215.018269,52.909743,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001238,215.011053,52.908065,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001297,215.017488,52.914016,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001342,215.016857,52.914699,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001360,215.009956,52.910653,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001493,215.010717,52.914145,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001519,214.998685,52.906242,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001589,214.994531,52.905724,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001610,215.028894,52.930504,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001633,215.009814,52.917595,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001658,215.026977,52.930242,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001760,214.986161,52.904215,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001767,215.031122,52.935192,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001783,214.982725,52.90227,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001790,214.999412,52.9139,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001820,215.027381,52.934852,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001835,215.020355,52.929774,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001837,214.98313,52.903556,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001842,215.033697,52.940066,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001859,215.031917,52.93749,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001889,215.022449,52.933124,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001903,214.988847,52.909986,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001924,215.029754,52.939343,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001944,214.983195,52.906972,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001958,214.983558,52.906082,f170lp-g235h f290lp-g395h clear-prism
aegis-2019001988,215.034666,52.944252,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002003,214.978996,52.906309,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002005,214.996085,52.91844,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002017,214.9864,52.911858,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002027,214.991661,52.915846,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002046,214.989346,52.914686,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002114,215.026412,52.942086,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002164,214.988855,52.917203,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002195,214.989623,52.918368,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002320,215.027872,52.949649,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002359,214.988619,52.922924,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002512,215.017106,52.946278,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002537,215.005843,52.939373,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002539,215.00012,52.935851,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002555,214.995346,52.933479,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002564,215.010367,52.944397,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002633,215.016383,52.950856,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002715,215.007891,52.947041,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002795,214.99675,52.941799,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002810,214.947891,52.907468,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002835,214.99149,52.938911,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002874,214.995983,52.943781,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002893,214.994932,52.943375,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002908,214.990062,52.940846,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002921,215.002768,52.949712,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002934,214.947817,52.91123,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002962,214.994417,52.944777,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002986,214.989695,52.940132,f170lp-g235h f290lp-g395h clear-prism
aegis-2019002997,214.949554,52.913905,f170lp-g235h f290lp-g395h clear-prism
aegis-2019003013,214.996061,52.948523,f170lp-g235h f290lp-g395h clear-prism
aegis-2019003026,214.997272,52.947611,f170lp-g235h f290lp-g395h clear-prism
