ra,dec,beta_UV,beta_UV_err,beta_opt,beta_opt_err,mag444,m_uv,M_UV,id,zphot,zspec
34.531264,-5.192856,-2.03,1.04,1.06,0.1,25.2,27.84,-18.63,PRIMER-UDS-23172,5.23,-1.0
34.42567,-5.19466,-2.3,0.53,0.08,0.08,25.06,27.07,-19.4,PRIMER-UDS-23515,5.2,-1.0
34.465403,-5.195348,-2.08,0.32,1.39,0.08,25.33,27.44,-19.36,PRIMER-UDS-23662,6.43,-1.0
34.367273,-5.204192,-1.12,0.58,1.82,0.06,24.18,27.58,-19.21,PRIMER-UDS-25458,6.34,-1.0
34.403068,-5.208193,-1.72,0.45,0.9,0.09,25.08,28.15,-18.1,PRIMER-UDS-26181,4.57,-1.0
34.368747,-5.214285,-1.75,0.06,0.1,0.04,23.32,25.58,-20.59,PRIMER-UDS-27299,4.36,-1.0
34.270696,-5.217642,-1.05,0.2,1.84,0.08,24.14,27.03,-19.24,PRIMER-UDS-27926,4.63,-1.0
34.313132,-5.226765,-1.79,0.7,1.41,0.11,25.86,28.68,-18.06,PRIMER-UDS-29881,-1.0,6.17
34.331205,-5.229849,-1.29,0.73,0.86,0.1,25.36,28.03,-18.5,PRIMER-UDS-30549,5.41,-1.0
34.264581,-5.232544,-1.53,0.35,0.36,0.12,24.64,26.88,-19.72,PRIMER-UDS-31092,-1.0,5.68
34.343978,-5.236175,-1.4,0.1,0.01,0.05,24.59,26.67,-19.55,PRIMER-UDS-31813,4.48,-1.0
34.343903,-5.236671,-1.82,0.95,0.31,0.52,26.23,29.26,-15.88,PRIMER-UDS-31918,2.44,-1.0
34.241809,-5.239401,-1.25,1.13,0.03,0.1,24.54,29.02,-16.77,PRIMER-UDS-32438,-1.0,3.5
34.28364,-5.243915,-1.77,0.22,0.26,0.11,25.91,27.5,-18.44,PRIMER-UDS-33438,3.82,-1.0
34.24419,-5.245834,-0.7,0.17,2.38,0.04,22.22,27.5,-18.09,PRIMER-UDS-33823,-1.0,3.1
34.230889,-5.24953,-2.19,0.4,0.6,0.18,24.8,27.39,-17.75,PRIMER-UDS-34633,2.44,-1.0
34.514216,-5.250379,-1.33,0.42,1.3,0.06,24.39,27.93,-18.53,PRIMER-UDS-34815,5.2,-1.0
34.422285,-5.250725,-1.91,0.12,1.28,0.04,24.21,26.62,-20.01,PRIMER-UDS-34899,5.77,-1.0
34.407059,-5.251676,-1.07,0.77,1.68,0.09,25.29,28.77,-17.7,PRIMER-UDS-35121,5.23,-1.0
34.466076,-5.264787,-1.32,0.49,1.95,0.06,24.55,27.65,-19.15,PRIMER-UDS-38096,6.4,-1.0
34.453339,-5.270736,-1.99,0.62,0.8,0.15,25.92,27.9,-18.59,PRIMER-UDS-39469,5.29,-1.0
34.304973,-5.275404,-2.11,0.41,0.27,0.12,26.49,27.68,-18.61,PRIMER-UDS-40579,4.66,-1.0
34.391916,-5.27694,-1.34,0.15,1.35,0.02,23.56,26.9,-19.65,PRIMER-UDS-40898,5.47,-1.0
34.398885,-5.277552,-2.48,0.57,1.87,0.13,25.22,28.03,-18.27,PRIMER-UDS-41039,4.69,-1.0
34.366884,-5.284193,-1.3,0.31,0.56,0.08,23.66,26.59,-19.67,PRIMER-UDS-42216,4.6,-1.0
34.420911,-5.296178,-2.27,0.17,0.65,0.06,23.98,25.98,-20.29,PRIMER-UDS-44702,4.63,-1.0
34.306548,-5.297159,-2.19,0.99,1.33,0.05,22.52,27.52,-17.88,PRIMER-UDS-44877,2.8,-1.0
34.510423,-5.299396,-1.7,0.96,-0.01,0.1,25.37,28.22,-18.26,PRIMER-UDS-45308,5.26,-1.0
34.270272,-5.300703,-1.11,1.6,0.53,0.16,25.69,28.32,-17.97,PRIMER-UDS-45536,4.69,-1.0
34.246434,-5.303368,-2.29,1.17,0.49,0.16,25.51,27.38,-18.92,PRIMER-UDS-46014,4.72,-1.0
34.381664,-5.303754,-1.9,3.35,0.37,0.24,25.92,28.5,-17.73,PRIMER-UDS-46081,4.51,-1.0
34.376136,-5.31038,-1.31,1.68,0.27,0.24,25.5,27.73,-19.41,PRIMER-UDS-47164,7.96,-1.0
34.409558,-5.322057,-1.27,0.6,1.39,0.17,25.37,27.66,-19.38,PRIMER-UDS-48715,7.45,-1.0
34.4379,-5.299977,-2.57,1.03,0.62,0.3,26.92,28.44,-18.59,PRIMER-UDS-60251,7.42,-1.0
34.283372,-5.296272,-2.45,0.89,0.56,0.26,26.19,27.43,-19.6,PRIMER-UDS-62612,7.42,-1.0
34.254151,-5.290015,-1.62,0.55,2.35,0.32,26.19,28.23,-19.32,PRIMER-UDS-66751,10.54,-1.0
34.47826,-5.28685,-2.64,1.33,2.23,0.36,27.04,28.77,-18.25,PRIMER-UDS-68913,7.39,-1.0
34.330303,-5.281233,-2.05,0.19,2.67,0.24,26.29,27.65,-19.66,PRIMER-UDS-72386,8.89,-1.0
34.374826,-5.27553,-1.4,1.12,0.21,0.23,26.88,29.19,-17.26,PRIMER-UDS-75424,5.17,-1.0
34.407514,-5.273147,-2.35,1.15,1.15,0.21,26.68,28.72,-17.74,PRIMER-UDS-76730,5.2,-1.0
34.243692,-5.271402,-2.79,1.27,1.28,0.19,26.51,28.72,-18.21,PRIMER-UDS-77750,6.97,-1.0
34.395652,-5.270093,-2.35,0.29,0.59,0.14,26.57,27.8,-18.93,PRIMER-UDS-78549,6.13,-1.0
34.352438,-5.264601,-1.74,1.27,1.29,0.38,26.66,28.26,-18.76,PRIMER-UDS-81866,7.42,-1.0
34.363537,-5.260795,-1.62,1.32,0.91,0.33,26.62,28.98,-17.57,PRIMER-UDS-84401,5.47,-1.0
34.324099,-5.252779,-2.78,2.09,0.71,0.18,26.54,28.36,-18.16,PRIMER-UDS-89614,5.38,-1.0
34.310556,-5.24988,-1.67,0.89,1.69,0.17,26.42,28.92,-18.11,PRIMER-UDS-92160,7.45,-1.0
34.469732,-5.231929,-0.82,2.53,0.88,0.45,26.9,29.69,-17.35,PRIMER-UDS-102661,7.48,-1.0
34.455357,-5.231831,-2.04,2.61,0.94,0.24,25.72,28.76,-17.64,PRIMER-UDS-102711,4.99,-1.0
34.288022,-5.227692,-1.24,2.05,1.17,0.45,26.66,28.96,-17.87,PRIMER-UDS-104993,6.55,-1.0
34.330528,-5.227622,-2.81,3.28,1.67,0.19,26.59,29.06,-17.65,PRIMER-UDS-105042,6.04,-1.0
34.426489,-5.225494,-1.77,0.55,2.6,0.7,27.25,28.36,-19.29,PRIMER-UDS-106389,11.29,-1.0
34.323597,-5.214154,-2.51,0.74,0.76,0.22,25.64,26.99,-20.13,PRIMER-UDS-113436,7.84,-1.0
34.372206,-5.210033,-1.48,0.9,1.67,0.14,25.67,28.3,-18.71,PRIMER-UDS-115809,7.33,-1.0
34.260537,-5.20912,-0.72,1.6,0.62,0.24,25.87,28.71,-17.81,PRIMER-UDS-116251,-1.0,5.36
34.40233,-5.206125,-0.83,1.44,0.07,0.31,27.45,29.68,-16.86,PRIMER-UDS-117853,5.44,-1.0
34.357374,-5.204709,-1.93,0.91,2.56,0.3,25.55,27.75,-19.33,PRIMER-UDS-118593,7.66,-1.0
34.312143,-5.202546,-2.34,2.27,1.61,0.26,25.66,29.17,-17.65,PRIMER-UDS-119639,-1.0,6.52
34.339751,-5.201218,-1.43,0.87,0.14,0.44,26.87,28.6,-17.39,PRIMER-UDS-120405,3.91,-1.0
34.505257,-5.176794,-1.43,1.34,3.04,0.85,27.67,29.55,-18.01,PRIMER-UDS-134793,10.57,-1.0
34.340967,-5.175472,-2.02,0.58,2.41,0.36,26.67,28.43,-18.77,PRIMER-UDS-135543,8.32,-1.0
34.281684,-5.169136,-0.96,2.05,1.59,0.38,26.74,29.24,-17.7,PRIMER-UDS-139224,7.0,-1.0
34.478026,-5.168735,-2.81,0.63,0.3,0.2,26.44,27.66,-18.97,PRIMER-UDS-139484,5.77,-1.0
34.280568,-5.159733,-2.23,1.26,1.84,0.47,27.28,28.85,-18.18,PRIMER-UDS-144975,7.45,-1.0
34.476389,-5.158091,-2.72,0.69,3.45,0.95,27.75,28.53,-18.77,PRIMER-UDS-146038,8.89,-1.0
34.292581,-5.089296,-1.74,0.39,0.31,0.12,25.58,27.32,-19.72,PRIMER-UDS-147500,7.45,-1.0
34.229124,-5.097348,-2.07,2.09,0.55,0.23,25.72,28.07,-18.34,PRIMER-UDS-147765,5.05,-1.0
34.228539,-5.10148,-2.39,2.12,1.04,0.18,26.26,29.39,-17.46,PRIMER-UDS-149541,6.61,-1.0
34.404447,-5.104179,-1.3,0.84,3.86,0.41,26.21,28.76,-18.91,PRIMER-UDS-151408,11.38,-1.0
34.422908,-5.104757,-1.73,0.84,1.85,0.55,27.03,28.74,-18.8,PRIMER-UDS-151980,10.48,-1.0
34.269194,-5.105731,-1.71,0.76,0.65,0.21,26.49,28.15,-18.88,PRIMER-UDS-152026,7.42,-1.0
34.218441,-5.107111,-2.52,0.76,0.9,0.2,25.83,27.49,-19.45,PRIMER-UDS-152826,7.03,-1.0
34.434424,-5.108764,-2.03,1.7,-0.02,0.37,28.27,29.95,-16.98,PRIMER-UDS-153498,7.0,-1.0
34.372364,-5.115915,-1.3,0.93,1.65,0.13,26.35,29.21,-17.83,PRIMER-UDS-158644,7.48,-1.0
34.439668,-5.117357,-1.37,0.58,0.73,0.17,26.73,28.59,-18.53,PRIMER-UDS-159206,7.9,-1.0
34.447128,-5.123007,-1.51,0.67,0.73,0.22,25.65,27.55,-19.38,PRIMER-UDS-161988,6.94,-1.0
34.277045,-5.128306,-1.23,0.94,0.96,0.19,26.83,29.21,-17.64,PRIMER-UDS-165526,6.64,-1.0
34.429471,-5.128854,-2.67,0.79,1.2,0.15,26.46,28.55,-17.91,PRIMER-UDS-165865,5.2,-1.0
34.397467,-5.135125,-1.76,1.83,2.28,0.12,25.73,29.81,-17.25,PRIMER-UDS-170710,7.6,-1.0
34.238463,-5.140396,-1.15,0.55,2.38,0.41,26.41,28.29,-19.19,PRIMER-UDS-173887,10.0,-1.0
34.411921,-5.144804,-1.86,0.86,0.96,0.18,27.01,28.84,-18.23,PRIMER-UDS-177350,7.63,-1.0
34.276037,-5.147996,-1.23,0.78,0.33,0.18,26.72,28.82,-18.01,PRIMER-UDS-178738,6.55,-1.0
34.467429,-5.150201,-2.42,0.77,2.31,0.44,27.07,28.48,-18.5,PRIMER-UDS-181563,7.21,-1.0
34.2914,-5.153348,-0.73,1.53,0.63,0.15,26.13,29.61,-16.87,PRIMER-UDS-183087,5.26,-1.0
34.439678,-5.093826,-1.09,0.93,0.63,0.29,26.46,28.24,-18.8,PRIMER-UDS-191132,7.48,-1.0
34.263345,-5.095113,-1.36,0.97,0.9,0.23,26.32,28.55,-18.46,PRIMER-UDS-191777,7.33,-1.0
3.486596,-30.329439,-0.97,1.04,0.13,0.18,27.03,29.69,-16.77,UNCOVER-1831,5.17,-1.0
3.510632,-30.341966,-1.96,0.06,0.38,0.03,24.25,26.52,-19.65,UNCOVER-2918,4.36,-1.0
3.506422,-30.345965,-1.94,0.14,0.87,0.04,24.89,27.07,-19.82,UNCOVER-3345,6.79,-1.0
3.49885,-30.35294,-1.24,0.07,0.9,0.02,23.74,26.67,-19.65,UNCOVER-3943,4.75,-1.0
3.533994,-30.353307,-1.51,0.29,0.12,0.12,25.84,27.48,-19.41,UNCOVER-3989,-1.0,6.76
3.530005,-30.358017,-1.7,0.1,0.01,0.02,24.74,27.34,-19.05,UNCOVER-4535,-1.0,4.96
3.59721,-30.394333,-1.57,0.53,1.41,0.12,25.86,28.4,-18.65,UNCOVER-8843,7.54,-1.0
3.620612,-30.399949,-1.33,0.28,2.31,0.07,25.06,28.15,-18.63,UNCOVER-9358,-1.0,6.34
3.625125,-30.401414,-1.07,0.04,0.57,0.03,22.4,27.2,-18.47,UNCOVER-9447,3.25,-1.0
3.579833,-30.401568,-1.24,0.31,2.02,0.06,25.07,28.23,-18.72,UNCOVER-9497,-1.0,7.04
3.636965,-30.406357,-1.9,0.07,2.4,0.12,24.21,25.41,-21.85,UNCOVER-9858,8.65,-1.0
3.550837,-30.406602,-1.57,0.25,0.26,0.06,24.34,27.43,-18.98,UNCOVER-9904,-1.0,5.05
3.598794,-30.418731,-1.39,0.13,0.01,0.09,25.73,27.86,-18.15,UNCOVER-10799,3.97,-1.0
3.619197,-30.423267,-1.52,0.44,1.73,0.07,24.89,28.16,-18.49,UNCOVER-11119,-1.0,5.84
3.491766,-30.298303,-2.36,0.26,1.35,0.71,27.51,27.54,-19.79,UNCOVER-12512,9.04,-1.0
3.444851,-30.326362,-2.43,0.43,2.14,0.46,27.18,28.21,-19.13,UNCOVER-15619,9.13,-1.0
3.524729,-30.368595,-1.85,0.85,0.26,0.35,28.38,29.74,-16.88,UNCOVER-23908,5.71,-1.0
3.56959,-30.373221,-1.63,0.74,1.4,0.17,26.68,29.25,-17.69,UNCOVER-25119,-1.0,7.04
3.567011,-30.379722,-1.44,0.66,1.07,0.2,25.89,28.08,-18.53,UNCOVER-26742,5.71,-1.0
3.640414,-30.386432,-0.85,0.35,3.44,0.27,26.34,29.06,-18.18,UNCOVER-29255,-1.0,8.5
3.575986,-30.419028,-1.91,0.32,0.65,0.23,27.45,29.64,-16.3,UNCOVER-33626,3.82,-1.0
3.66352,-30.423629,-1.1,1.64,1.35,0.39,26.05,28.41,-18.28,UNCOVER-34404,6.01,-1.0
3.592416,-30.432824,-2.27,0.53,0.59,0.33,26.91,27.95,-18.93,UNCOVER-35436,-1.0,6.74
