ra,dec,beta_UV,beta_UV_err,beta_opt,beta_opt_err,mag444,m_uv,M_UV,id,zphot,zspec
214.983037,52.956006,-0.85,0.08,0.89,0.05,23.96,26.79,-20.14,CEERS-7902,-1.0,6.99
214.797534,52.818757,-1.97,0.3,0.29,0.1,25.61,27.57,-19.28,CEERS-9083,-1.0,6.62
214.892248,52.877406,-1.22,0.11,0.43,0.03,24.0,27.03,-19.84,CEERS-10444,-1.0,6.69
214.929513,52.88791,-1.88,0.87,2.05,0.15,26.09,29.42,-17.55,CEERS-12833,-1.0,7.16
214.886801,52.855376,-1.34,0.34,0.05,0.04,24.72,28.32,-18.06,CEERS-13135,-1.0,4.95
214.795367,52.788848,-0.62,0.12,1.42,0.02,23.2,27.59,-18.9,CEERS-13318,-1.0,5.28
214.840543,52.817942,-2.51,0.86,2.1,0.15,25.79,28.49,-18.23,CEERS-13748,-1.0,6.11
214.990983,52.916523,-1.58,0.29,1.23,0.06,25.28,28.57,-18.03,CEERS-14949,-1.0,5.68
214.758699,52.749724,-2.8,0.27,0.42,0.09,25.48,26.88,-19.33,CEERS-15184,4.48,-1.0
214.773913,52.741349,-2.37,1.72,0.08,0.13,26.32,29.03,-16.71,CEERS-18646,3.4,-1.0
214.927802,52.850003,-2.08,0.19,0.49,0.16,26.61,27.7,-19.34,CEERS-18850,-1.0,7.48
214.880162,52.812562,-2.01,0.14,0.41,0.05,25.0,26.79,-19.7,CEERS-19578,5.29,-1.0
215.062508,52.940339,-1.86,0.14,2.07,0.2,26.25,27.43,-19.94,CEERS-19799,9.31,-1.0
214.876032,52.806109,-1.87,0.17,1.04,0.05,25.41,27.7,-18.93,CEERS-20320,-1.0,5.79
215.078257,52.948504,-1.82,0.24,0.03,0.09,26.34,28.17,-18.72,CEERS-20496,-1.0,6.79
215.137064,52.988557,-1.41,0.35,1.46,0.07,25.29,28.56,-17.93,CEERS-20777,-1.0,5.29
214.894556,52.812163,-1.75,0.4,1.44,0.07,25.23,28.54,-18.08,CEERS-21753,5.74,-1.0
214.817112,52.748343,-1.47,0.15,-0.02,0.24,26.77,27.69,-19.82,CEERS-23931,10.21,-1.0
214.934975,52.829368,-2.29,0.3,0.08,0.13,26.61,28.24,-18.55,CEERS-24220,6.37,-1.0
214.97996,52.861078,-1.98,0.07,0.99,0.03,23.92,25.94,-20.81,CEERS-24253,-1.0,6.23
214.899803,52.80154,-0.41,0.38,2.31,0.19,26.47,29.23,-17.98,CEERS-24805,8.38,-1.0
214.896469,52.787688,-1.06,0.34,0.31,0.06,25.46,28.65,-18.35,CEERS-27202,7.3,-1.0
215.080279,52.907899,-1.94,0.07,1.38,0.04,23.37,25.57,-21.47,CEERS-29025,7.48,-1.0
215.137016,52.95565,-2.62,0.65,2.8,0.21,26.69,29.23,-17.9,CEERS-36181,7.96,-1.0
214.975831,52.84196,-0.73,0.59,2.36,0.57,27.43,29.27,-18.18,CEERS-36308,9.82,-1.0
215.107207,52.942852,-1.04,1.63,1.6,0.38,27.19,30.2,-16.61,CEERS-41493,6.43,-1.0
214.954424,52.852402,-1.18,0.49,3.23,0.89,27.74,28.99,-18.37,CEERS-53047,9.25,-1.0
215.143715,52.988894,-1.53,0.72,2.48,0.51,27.42,29.58,-17.6,CEERS-54909,8.2,-1.0
215.06178,52.931177,-1.25,0.61,1.95,0.23,26.93,29.14,-17.9,CEERS-54927,7.48,-1.0
215.131469,52.984914,-0.96,1.16,2.1,0.21,26.57,30.0,-17.04,CEERS-58069,7.48,-1.0
214.886422,52.823379,-2.09,0.53,1.46,0.24,27.44,29.21,-17.91,CEERS-65326,7.87,-1.0
