           id        ,  ra        ,    dec     ,  zspec , fwhm_broad_halpha, fwhm_broad_halpha_up, fwhm_broad_halpha_lo, log_mbh, log_mbh_up, log_mbh_lo, log_lbol, log_lbol_up, log_lbol_lo, edd_ratio, edd_ratio_up, edd_ratio_lo, grating
    rubies_4233_50052, 214.823454 ,  52.830277 , 5.2394 , 2020 , 100, -100 , 6.82 , 0.010 , -0.010  ,   44.5 , 0.010, -0.010 , 0.3601, 0.0052, -0.00 ,   g395m
    rubies_4233_13872, 215.132933 ,  52.970705 , 5.2611 , 1270 , 1440, -410, 6.08 , 0.0389, -0.055  , 44.0 , 0.0374, -0.0202 , 0.6320, 0.0487, -0.03 ,   g395m
    rubies_4233_42046, 214.795368 ,  52.788847 , 5.2772 ,  3440 , 80, -50  , 7.75 , 0.010 , -0.010  ,   45.0 , 0.010, -0.010 , 0.1513, 0.0009, -0.00 ,   g395m
   rubies_4233_970351,  34.261900 ,  -5.105205 , 5.2822 , 2230 , 650, -590 , 6.74 , 0.0438, -0.0424 , 44.0 , 0.0347, -0.0315 , 0.1519, 0.0104, -0.010 ,   g395m
   rubies_4233_926125, 215.137081 ,  52.988554 , 5.2858 , 1730 , 140, -110 , 6.65 , 0.0139, -0.0117 ,   44.2 , 0.010, -0.010 , 0.3156, 0.0059, -0.00 ,   g395m
    rubies_4233_60935, 214.923373 ,  52.925593 , 5.2871 , 2330 , 120, -130 , 7.02 , 0.0112, -0.010  ,   44.4 , 0.010, -0.010 , 0.2027, 0.0034, -0.00 ,   g395m
  macs0416_4750_60003,  64.052479 , -24.081456 , 5.3340 ,   2080 , 40, -40 , 6.74 , 0.010 , -0.010  ,   44.1 , 0.010, -0.010 , 0.1998, 0.0013, -0.00 ,   g395m
  macs1149_2758_40149, 177.425964 ,  22.468496 , 5.3971 ,  1950 , 100, -80 , 6.58 , 0.010 , -0.0124 ,   44.2 , 0.010, -0.010 , 0.3653, 0.0054, -0.010 ,   g395m
    rubies_4233_29813,  34.453355 ,  -5.270717 , 5.4399 , 2340 , 340, -350 , 6.94 , 0.0222, -0.0213 ,   44.4 , 0.010, -0.010 , 0.2037, 0.0042, -0.00 ,   g395m
    jades_1286_204851,  53.138593 , -27.790253 , 5.4818 ,  2120 , 100, -90 , 6.88 , 0.010 , -0.010  ,   44.3 , 0.010, -0.010 , 0.2324, 0.0024, -0.00 ,   g395m
    rubies_4233_17604,  34.311488 ,  -5.290996 , 5.5002 , 1260 , 150, -110 , 6.19 , 0.023 , -0.0239 ,   44.0 , 0.010, -0.010 , 0.5719, 0.0123, -0.010 ,   g395m
         gdn_2674_934, 189.261346 ,  62.231967 , 5.5362 , 1670 , 160, -130 , 6.41 , 0.0164, -0.022 ,   44.3 , 0.010, -0.010 , 0.5731, 0.0160, -0.02 ,   g395m
   rubies_4233_172350,  34.368951 ,  -5.103941 , 5.5810 , 2070 , 120, -110 , 6.97 , 0.0108, -0.010 ,   44.5 , 0.010, -0.010 , 0.2438, 0.0043, -0.00 ,   g395m
      jades_1181_1093, 189.179743 ,  62.224629 , 5.5944 , 2120 , 470, -390 , 6.53 , 0.0293, -0.0362 ,  43.9 , 0.011, -0.010 , 0.1978, 0.0047, -0.00 ,   g395m
       ceers_1345_746, 214.809142 ,  52.868484 , 5.6231 , 2120 , 420, -390 , 6.66 , 0.0324, -0.0332 , 44.0 , 0.0249, -0.0379 , 0.1722, 0.0093, -0.010 ,   g395m
