id,file,root,ra,dec,zspec
6368_10997,capers-udsp2-v4_prism-clear_6368_10997.spec.fits,capers-udsp2-v4,34.42429664076,-5.13650668741,5.1536555
6368_15322,capers-udsp2-v4_prism-clear_6368_15322.spec.fits,capers-udsp2-v4,34.41984008243,-5.15422815894,3.70188
2750_1768,ceers-ddt-v4_prism-clear_2750_1768.spec.fits,ceers-ddt-v4,214.9257594,52.94566150000001,5.0884247
2750_2015,ceers-ddt-v4_prism-clear_2750_2015.spec.fits,ceers-ddt-v4,214.917995,52.937245,4.8925524
1345_746,ceers-v4_prism-clear_1345_746.spec.fits,ceers-v4,214.80914160000003,52.8684835,5.629804398175934
1345_80457,ceers-v4_prism-clear_1345_80457.spec.fits,ceers-v4,214.9241254,52.8490467,4.2225738
6585_58018,cosmos-transients-v4_prism-clear_6585_58018.spec.fits,cosmos-transients-v4,150.1444426,2.344392782,3.9262767
6585_61234,cosmos-transients-v4_prism-clear_6585_61234.spec.fits,cosmos-transients-v4,150.1069005,2.360046093,7.003398
6585_65449,cosmos-transients-v4_prism-clear_6585_65449.spec.fits,cosmos-transients-v4,150.13219319999,2.380441107,5.2050476
4106_47962,egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,egs-nelsonx-v4,214.89247923152962,52.856891201371695,6.7285585
4106_51623,egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,egs-nelsonx-v4,214.88681836821235,52.85538915206524,4.9589176
4106_57146,egs-nelsonx-v4_prism-clear_4106_57146.spec.fits,egs-nelsonx-v4,214.89224643206325,52.87740951028522,6.686174
4106_71365,egs-nelsonx-v4_prism-clear_4106_71365.spec.fits,egs-nelsonx-v4,214.89554496265416,52.906722346257695,4.8042393
4106_85168,egs-nelsonx-v4_prism-clear_4106_85168.spec.fits,egs-nelsonx-v4,214.8306599699613,52.88777547317383,7.769293
2198_12577,gds-barrufet-s67-v4_prism-clear_2198_12577.spec.fits,gds-barrufet-s67-v4,53.04845483406177,-27.815140914271183,5.2363167
2198_4490,gds-barrufet-s67-v4_prism-clear_2198_4490.spec.fits,gds-barrufet-s67-v4,53.04104388107105,-27.854484200572188,3.705768
2198_4820,gds-barrufet-s67-v4_prism-clear_2198_4820.spec.fits,gds-barrufet-s67-v4,53.03489112095898,-27.852193031739205,3.7993941
1213_2974,gto-wide-egs1-v4_prism-clear_1213_2974.spec.fits,gto-wide-egs1-v4,215.1267455801594,53.048364968441895,2.3187494
1215_4994,gto-wide-uds11-v4_prism-clear_1215_4994.spec.fits,gto-wide-uds11-v4,34.47112874024486,-5.1904328793177115,5.5147057
1215_4273,gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,gto-wide-uds13-v4,34.36349548676344,-5.176980104240556,4.053912
1215_4446,gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,gto-wide-uds14-v4,34.27071179140419,-5.217670537157232,4.68347
1181_39353,jades-gdn-v4_prism-clear_1181_39353.spec.fits,jades-gdn-v4,189.2939522,62.1530911,4.8533993
1181_53501,jades-gdn-v4_prism-clear_1181_53501.spec.fits,jades-gdn-v4,189.2950564,62.1935722,3.43598
1181_68797,jades-gdn-v4_prism-clear_1181_68797.spec.fits,jades-gdn-v4,189.2291371,62.1461898,5.043335
1181_73488,jades-gdn09-v4_prism-clear_1181_73488.spec.fits,jades-gdn09-v4,189.1973959,62.1772331,4.130943
1181_4685,jades-gdn11-v4_prism-clear_1181_4685.spec.fits,jades-gdn11-v4,189.0962931,62.2391438,7.4159017
1181_39353,jades-gdn198-v4_prism-clear_1181_39353.spec.fits,jades-gdn198-v4,189.2939522,62.1530911,4.85197
1181_53501,jades-gdn198-v4_prism-clear_1181_53501.spec.fits,jades-gdn198-v4,189.2950564,62.1935722,3.43611
1181_68797,jades-gdn198-v4_prism-clear_1181_68797.spec.fits,jades-gdn198-v4,189.2291371,62.1461898,5.0410485
1181_28074,jades-gdn2-v4_prism-clear_1181_28074.spec.fits,jades-gdn2-v4,189.0645893,62.2738154,2.2734878
1212_98,jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,jades-gds-w09-v4,53.088974949978294,-27.73819748445515,4.8245463
1180_12402,jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,jades-gds-wide-v4,53.1326687,-27.765481799999975,3.1927059
1180_13329,jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,jades-gds-wide-v4,53.1390379,-27.784433200000024,3.935016
1180_398,jades-gds-wide2-v4_prism-clear_1180_b398.spec.fits,jades-gds-wide2-v4,53.20400899930361,-27.77211442900382,7.24752023960155
1286_38562,jades-gds02-v4_prism-clear_1286_38562.spec.fits,jades-gds02-v4,53.1358639,-27.871645,4.8218217
1286_204851,jades-gds05-v4_prism-clear_1286_204851.spec.fits,jades-gds05-v4,53.1385932,-27.790253399999987,5.485453
1286_159717,jades-gds06-v4_prism-clear_1286_159717.spec.fits,jades-gds06-v4,53.0975283,-27.90126029999999,5.074387
1208_3104035,macs0416-v4_prism-clear_1208_3104035.spec.fits,macs0416-v4,64.05623768543641,-24.113538261335236,5.006783
1208_3104219,macs0416-v4_prism-clear_1208_3104219.spec.fits,macs0416-v4,64.06837390046569,-24.112312881470928,6.414142
1208_205006,macs0417-v4_prism-clear_1208_205006.spec.fits,macs0417-v4,64.37603805190368,-11.798176835174447,5.621284
1208_4103248,macs1423-v4_prism-clear_1208_4103248.spec.fits,macs1423-v4,215.9612163243114,24.0580239250473,5.774661
1208_4111584,macs1423-v4_prism-clear_1208_4111584.spec.fits,macs1423-v4,215.92962831222565,24.10835152537791,4.0656843
1433_1045,macsj0647-v4_prism-clear_1433_1045.spec.fits,macsj0647-v4,101.933406,70.198268,4.5276384
5224_233464,mom-cos03-v4_prism-clear_5224_233464.spec.fits,mom-cos03-v4,150.0716706,2.2004085,5.10237
5224_279058,mom-cos04-v4_prism-clear_5224_279058.spec.fits,mom-cos04-v4,150.078025,2.2776202,5.85431
5224_279078,mom-cos04-v4_prism-clear_5224_279078.spec.fits,mom-cos04-v4,150.0828163,2.2777263,5.38006
5224_292585,mom-cos04-v4_prism-clear_5224_292585.spec.fits,mom-cos04-v4,150.0719633,2.2972652,4.38371
5224_296671,mom-cos04-v4_prism-clear_5224_296671.spec.fits,mom-cos04-v4,150.0678387,2.3033048,5.85088
5224_298768,mom-cos04-v4_prism-clear_5224_298768.spec.fits,mom-cos04-v4,150.0605716,2.3059591,4.47437
5224_347410,mom-cos04-v4_prism-clear_5224_347410.spec.fits,mom-cos04-v4,150.0729041,2.3236212,6.04049
5224_312568,mom-cos05-v4_prism-clear_5224_312568.spec.fits,mom-cos05-v4,150.1058493,2.4468234,4.9161
5224_314237,mom-cos05-v4_prism-clear_5224_314237.spec.fits,mom-cos05-v4,150.0938182,2.438553,6.0426
5224_324506,mom-cos05-v4_prism-clear_5224_324506.spec.fits,mom-cos05-v4,150.1102426,2.4022088,4.3891
5224_149501,mom-uds01-v4_prism-clear_5224_149501.spec.fits,mom-uds01-v4,34.38671301108,-5.13610751332,3.9659977
5224_150135,mom-uds01-v4_prism-clear_5224_150135.spec.fits,mom-uds01-v4,34.39748407592,-5.13511630627,7.764431132969283
5224_920396,mom-uds02-v4_prism-clear_5224_920396.spec.fits,mom-uds02-v4,34.2478277,-5.1519963,7.09758
5105_10835,nexus-obs3-v4_prism-clear_5105_10835.spec.fits,nexus-obs3-v4,268.4376747,65.1674849,4.65012
5105_10868,nexus-obs3-v4_prism-clear_5105_10868.spec.fits,nexus-obs3-v4,268.4410301,65.167627,4.38856
5105_12143,nexus-obs3-v4_prism-clear_5105_12143.spec.fits,nexus-obs3-v4,268.4283387,65.1735015,5.86735
5105_21941,nexus-obs3-v4_prism-clear_5105_21941.spec.fits,nexus-obs3-v4,268.5325315,65.2677034,3.67055
5105_23192,nexus-obs3-v4_prism-clear_5105_23192.spec.fits,nexus-obs3-v4,268.522548,65.2626446,4.52104729497047
5105_20152,nexus-obs5-v4_prism-clear_5105_20152.spec.fits,nexus-obs5-v4,268.5259513,65.2276967,2.86932
5105_2314,nexus-obs5-v4_prism-clear_5105_2314.spec.fits,nexus-obs5-v4,268.5418959,65.1388089,4.42207
5105_3713,nexus-obs5-v4_prism-clear_5105_3713.spec.fits,nexus-obs5-v4,268.4328948,65.1476526,3.21512
5105_7712,nexus-obs5-v4_prism-clear_5105_7712.spec.fits,nexus-obs5-v4,268.5685568,65.1743429,5.86941
4233_926125,rubies-egs51-v4_prism-clear_4233_926125.spec.fits,rubies-egs51-v4,215.1370814,52.9885544,5.2878757
4233_927271,rubies-egs51-v4_prism-clear_4233_927271.spec.fits,rubies-egs51-v4,215.0782588,52.9484971,6.788556
4233_29489,rubies-egs52-v4_prism-clear_4233_29489.spec.fits,rubies-egs52-v4,215.02207063101,52.92078594485,4.542522
4233_37124,rubies-egs52-v4_prism-clear_4233_37124.spec.fits,rubies-egs52-v4,214.9909773341,52.91652395192,5.68516
4233_42046,rubies-egs53-v4_prism-clear_4233_42046.spec.fits,rubies-egs53-v4,214.79536781462,52.78884662864,5.2845182
4233_55604,rubies-egs61-v4_prism-clear_4233_55604.spec.fits,rubies-egs61-v4,214.98302557432,52.956001297,6.988607
4233_61496,rubies-egs61-v4_prism-clear_4233_61496.spec.fits,rubies-egs61-v4,214.97244131008,52.96219208372,5.083718
4233_952625,rubies-egs61-v4_prism-clear_4233_952625.spec.fits,rubies-egs61-v4,214.9755288,52.9252681,5.1085505
4233_42232,rubies-egs62-v4_prism-clear_4233_42232.spec.fits,rubies-egs62-v4,214.88679215799,52.85538052649,4.9565415
4233_948917,rubies-egs62-v4_prism-clear_4233_948917.spec.fits,rubies-egs62-v4,214.8924789,52.8568903,6.7316566
4233_28812,rubies-egs63-v4_prism-clear_4233_28812.spec.fits,rubies-egs63-v4,214.92414906585,52.84905034134,4.228986
4233_38434,rubies-egs63-v4_prism-clear_4233_38434.spec.fits,rubies-egs63-v4,214.88712333241,52.84537637206,2.8590343
4233_42232,rubies-egs63-v4_prism-clear_4233_42232.spec.fits,rubies-egs63-v4,214.88679215799,52.85538052649,4.954755
4233_42803,rubies-egs63-v4_prism-clear_4233_42803.spec.fits,rubies-egs63-v4,214.92952394337,52.88791877402,7.1516957
4233_49140,rubies-egs63-v4_prism-clear_4233_49140.spec.fits,rubies-egs63-v4,214.89224786285,52.87740967514,6.6877327
4233_11917,rubies-uds1-v4_prism-clear_4233_11917.spec.fits,rubies-uds1-v4,34.2682663,-5.295207800000014,2.5857115
4233_31747,rubies-uds1-v4_prism-clear_4233_31747.spec.fits,rubies-uds1-v4,34.2237573,-5.260244600000021,4.129401
4233_40579,rubies-uds1-v4_prism-clear_4233_40579.spec.fits,rubies-uds1-v4,34.2441997,-5.245871399999999,3.113558
4233_928474,rubies-uds1-v4_prism-clear_4233_928474.spec.fits,rubies-uds1-v4,34.2437001,-5.271437699999979,6.929497
4233_175975,rubies-uds21-v4_prism-clear_4233_175975.spec.fits,rubies-uds21-v4,34.21038509226,-5.09873620942,2.9519691
4233_182791,rubies-uds21-v4_prism-clear_4233_182791.spec.fits,rubies-uds21-v4,34.21381285054,-5.08704950317,4.717405
4233_119957,rubies-uds22-v4_prism-clear_4233_119957.spec.fits,rubies-uds22-v4,34.26890764112,-5.17672184077,4.151636
4233_139709,rubies-uds22-v4_prism-clear_4233_139709.spec.fits,rubies-uds22-v4,34.29600217424,-5.14989519964,5.68399
4233_144195,rubies-uds23-v4_prism-clear_4233_144195.spec.fits,rubies-uds23-v4,34.32515592884,-5.143685286,3.3547552
4233_167741,rubies-uds23-v4_prism-clear_4233_167741.spec.fits,rubies-uds23-v4,34.33460340027,-5.11026931524,4.1157036
4233_172350,rubies-uds23-v4_prism-clear_4233_172350.spec.fits,rubies-uds23-v4,34.36895117186,-5.10394147458,5.5864534
4233_981721,rubies-uds23-v4_prism-clear_4233_981721.spec.fits,rubies-uds23-v4,34.372371,-5.1159131,7.206081
4233_47509,rubies-uds3-v4_prism-clear_4233_47509.spec.fits,rubies-uds3-v4,34.2646021,-5.2325857000000155,5.671981
4233_50716,rubies-uds3-v4_prism-clear_4233_50716.spec.fits,rubies-uds3-v4,34.3131541,-5.226780899999994,6.170604
4233_154183,rubies-uds31-v4_prism-clear_4233_154183.spec.fits,rubies-uds31-v4,34.41074855089,-5.12966426274,3.548925327627479
4233_981721,rubies-uds31-v4_prism-clear_4233_981721.spec.fits,rubies-uds31-v4,34.372371,-5.1159131,7.1974497
4233_29813,rubies-uds33-v4_prism-clear_4233_29813.spec.fits,rubies-uds33-v4,34.45335487097,-5.27071690793,5.442071
4233_53692,rubies-uds33-v4_prism-clear_4233_53692.spec.fits,rubies-uds33-v4,34.45537626542,-5.23181398278,5.2792883
4233_23438,rubies-uds42-v4_prism-clear_4233_23438.spec.fits,rubies-uds42-v4,34.33827056315,-5.28089510517,3.6860464
4233_807469,rubies-uds42-v4_prism-clear_4233_807469.spec.fits,rubies-uds42-v4,34.3761391,-5.3103658,6.7795324
4233_40800,rubies-uds43-v4_prism-clear_4233_40800.spec.fits,rubies-uds43-v4,34.3241219826,-5.25278885497,4.982409
4233_848745,rubies-uds43-v4_prism-clear_4233_848745.spec.fits,rubies-uds43-v4,34.3105753,-5.24989849999,7.1175017
2767_11024,rxj2129-ddt-v4_prism-clear_2767_11024.spec.fits,rxj2129-ddt-v4,322.4163338,0.0981286,4.2948875
2561_20698,uncover-61-v4_prism-clear_2561_20698.spec.fits,uncover-61-v4,3.55670488988,-30.40819180526,2.417316
2561_21547,uncover-61-v4_prism-clear_2561_21547.spec.fits,uncover-61-v4,3.55083777507,-30.40659782568,5.0578914
2561_24968,uncover-61-v4_prism-clear_2561_24968.spec.fits,uncover-61-v4,3.62060683216,-30.3999507478,6.3467827
2561_27114,uncover-61-v4_prism-clear_2561_27114.spec.fits,uncover-61-v4,3.54579026178,-30.39572382742,5.1957436
2561_24175,uncover-62-v4_prism-clear_2561_24175.spec.fits,uncover-62-v4,3.57983163662,-30.40156918527,7.0356536
2561_58453,uncover-62-v4_prism-clear_2561_58453.spec.fits,uncover-62-v4,3.58475838636,-30.34362893587,4.471244
2561_13123,uncover-v4_prism-clear_2561_13123.spec.fits,uncover-v4,3.5798285586361156,-30.40156942018814,7.0370483
2561_15383,uncover-v4_prism-clear_2561_15383.spec.fits,uncover-v4,3.5835345523876256,-30.39667857268421,7.037048
2561_16594,uncover-v4_prism-clear_2561_16594.spec.fits,uncover-v4,3.5972026964921247,-30.394328688267255,7.0346375
2561_20466,uncover-v4_prism-clear_2561_20466.spec.fits,uncover-v4,3.6404083925047726,-30.386437606203685,8.509481
2561_28876,uncover-v4_prism-clear_2561_28876.spec.fits,uncover-v4,3.5695974262993713,-30.373223042575773,7.0362444
2561_38108,uncover-v4_prism-clear_2561_38108.spec.fits,uncover-v4,3.530008614510292,-30.35801311552825,4.968462
2561_4286,uncover-v4_prism-clear_2561_4286.spec.fits,uncover-v4,3.619201005497743,-30.423270342647697,5.8352246
2561_45924,uncover-v4_prism-clear_2561_45924.spec.fits,uncover-v4,3.5847600654669716,-30.34362752753509,4.463361263885918
2561_49702,uncover-v4_prism-clear_2561_49702.spec.fits,uncover-v4,3.5477143259497907,-30.33370172649842,4.866683
