id,ra,dec,zspec,source,qf
2015,177.6965323,-28.0767035,0.3458,m,3
2719,177.6974222,-28.0778563,0.0,m,3
3158,177.6969679,-28.0781012,4.3466,m,9
6049,177.696288,-28.0769456,5.975,m,9
3098,177.6974778,-28.0760508,0.3839,m,3
3148,177.7047134,-28.0783357,0.3938,m,3
3196,177.7039488,-28.0796346,0.3812,m,3
3121,177.7051954,-28.0767855,0.3901,m,3
1502,177.7018912,-28.077593,0.3342,m,3
2066,177.7013193,-28.0773686,0.3834,m,3
3192,177.7044268,-28.0756754,0.381,m,2
2118,177.7065068,-28.0756047,0.381,m,3
3032,177.7074236,-28.0743277,3.0216,m,9
3066,177.7088724,-28.0748447,0.3824,m,3
3053,177.7043954,-28.0742854,0.3885,m,3
3055,177.7062187,-28.0744958,0.3924,m,3
3056,177.7055935,-28.0739489,3.4846,m,1
2986,177.7062022,-28.0726181,4.184,m,9
3012,177.7071282,-28.0728321,0.6039,m,3
2012,177.7025977,-28.0741926,0.3907,m,3
2083,177.7022921,-28.0752316,0.2882,m,2
2129,177.7019375,-28.0746584,0.3973,m,3
3083,177.7022866,-28.0750913,0.3732,m,3
2080,177.6997778,-28.0741011,3.0738,m,1
2120,177.6992701,-28.0748079,3.2216,m,1
2142,177.6990914,-28.0745822,4.3338,m,9
3028,177.7013735,-28.0734807,0.346,m,3
2226,177.7051417,-28.073276,3.3425,m,3
2955,177.7053542,-28.0716576,0.3813,m,3
2979,177.7045018,-28.0725003,0.3784,m,3
2991,177.705867,-28.0724299,0.3851,m,3
3019,177.7052569,-28.0731344,3.3428,m,3
3039,177.7051491,-28.0728206,0.3866,m,1
3075,177.7051908,-28.073196,3.3427,m,3
1906,177.7018446,-28.0723209,3.2869,m,1
2917,177.7032402,-28.070331,0.3824,m,3
1166,177.6820796,-28.0885212,3.0788,m,9
1179,177.6819455,-28.0883162,3.0788,m,1
1186,177.6841539,-28.08823,1.3285,m,3
1193,177.6841372,-28.0881567,1.3281,m,3
1247,177.6830614,-28.0873816,0.0,m,3
1198,177.6802489,-28.0880328,0.3723,m,3
1132,177.6818771,-28.0873672,0.3767,m,3
1266,177.681636,-28.0871528,3.0783,m,9
1273,177.6816455,-28.0870461,3.079,m,9
1129,177.6846062,-28.0866259,0.3716,m,3
1241,177.6835741,-28.0862503,1.3281,m,3
1249,177.6846088,-28.0870927,0.3707,m,3
1304,177.6843335,-28.0864962,0.3723,m,3
1325,177.6841116,-28.086222,0.3721,m,3
6023,177.683655,-28.0862885,5.4668,m,9
6024,177.6853426,-28.0863443,5.4668,m,9
1348,177.6836663,-28.0859295,1.3281,m,3
1352,177.683756,-28.0857349,1.3285,m,3
1386,177.6837982,-28.0855961,1.3281,m,3
1242,177.6853066,-28.0843789,0.2782,m,3
1497,177.6850208,-28.0844612,0.2788,m,3
1556,177.6845623,-28.0838108,5.4674,m,9
1298,177.6783183,-28.0866177,1.456,m,1
1337,177.6797058,-28.0858456,0.3858,m,3
1334,177.6807464,-28.0861768,0.3839,m,3
1340,177.679852,-28.0853641,0.3709,m,3
1380,177.6802483,-28.0856162,1.2492,m,1
1559,177.6830076,-28.0838202,0.3993,m,3
1592,177.6825257,-28.0833456,0.0,m,3
3276,177.6825458,-28.0834406,1.0361,m,3
1642,177.6832321,-28.0826167,2.1649,m,1
1023,177.6878475,-28.0844211,0.3907,m,3
1277,177.6871775,-28.0844156,1.409,m,9
1430,177.6874437,-28.0851223,1.4089,m,9
1452,177.6873144,-28.0848599,1.4079,m,3
1495,177.6872324,-28.0839956,1.4086,m,9
1572,177.6872514,-28.0836389,1.4082,m,9
1628,177.6874507,-28.0828037,0.3975,m,2
1319,177.6888676,-28.0829364,1.0602,m,1
1594,177.6890524,-28.0833711,2.4939,m,1
1698,177.6882639,-28.0818197,0.4975,m,2
1591,177.6863572,-28.0834123,0.2784,m,3
1675,177.6868141,-28.0820965,0.3458,m,3
1684,177.6871165,-28.0819263,0.3313,m,3
1877,177.6873863,-28.0803785,0.3458,m,3
3208,177.6874995,-28.0806635,0.3461,m,3
3236,177.687465,-28.0808415,0.3461,m,3
1872,177.6916118,-28.0799752,0.3856,m,1
3189,177.6890222,-28.0801646,3.0969,m,9
1841,177.6905834,-28.0793704,0.5839,m,3
1996,177.6900234,-28.0788531,1.1177,m,1
1705,177.6852477,-28.0817695,0.3734,m,3
1778,177.6869902,-28.0801846,0.3456,m,2
2171,177.6861147,-28.0806157,0.0,m,3
3232,177.6871702,-28.0798856,0.3454,m,3
3239,177.6871895,-28.0801161,0.3456,m,3
1927,177.6869127,-28.0792605,4.1019,m,1
1962,177.6878363,-28.0790098,0.3903,m,3
2038,177.6866669,-28.0791501,4.099,m,9
1991,177.6887708,-28.0774877,0.9763,m,3
3118,177.6891523,-28.0772987,3.9724,m,1
1982,177.6934498,-28.0788678,0.396,m,3
3255,177.6934009,-28.0784521,0.3772,m,3
2141,177.6948414,-28.077798,4.5228,m,1
1994,177.6914004,-28.0774601,1.201,m,3
3110,177.6892544,-28.0764387,0.7265,m,3
2225,177.6910305,-28.0740152,0.3893,d,3
2353,177.6906849,-28.071725,0.396,d,3
2849,177.6923061,-28.0702113,0.386,v,3
3093,177.6991073,-28.0734738,0.3262,m,1
3254,177.6872512,-28.0650927,0.3676,v,3
2566,177.696044,-28.06451,1.3443,d,3
2626,177.6947714,-28.0656967,0.3296,d,3
2616,177.6886424,-28.0639811,0.3295,d,3
2405,177.6911388,-28.0606995,0.3807,d,3
1946,177.7150158,-28.0791173,0.3751,m,3
3069,177.7163049,-28.0784259,0.3952,m,3
1852,177.7133525,-28.0783953,0.3859,m,3
1950,177.7137941,-28.0781592,0.3851,m,3
2053,177.7139149,-28.0769935,0.0,m,3
3127,177.7129632,-28.0769386,0.38,m,3
3082,177.7144476,-28.0753834,0.3824,m,3
1717,177.717851,-28.0767877,0.3857,m,3
2119,177.7165116,-28.0750992,0.3894,m,3
2838,177.7120362,-28.0752912,1.4086,m,9
2136,177.7130672,-28.0750442,0.3719,m,3
3062,177.7137305,-28.0752662,1.4084,m,9
6007,177.7144049,-28.0750612,1.4081,m,9
6006,177.7110728,-28.0753095,1.408,m,9
2232,177.7118012,-28.0724286,0.377,m,3
2220,177.7126667,-28.0715809,0.4468,m,2
3007,177.7132168,-28.0719967,1.3092,m,9
2927,177.7137548,-28.0709597,0.3785,v,3
2153,177.7084388,-28.0732129,0.3821,m,3
2990,177.7091778,-28.0722744,0.3724,m,3
2998,177.7090656,-28.0732618,0.3703,m,3
6035,177.7089592,-28.0729328,2.9307,m,9
6036,177.7091877,-28.0739912,2.9306,m,9
2956,177.7101171,-28.0719185,0.6621,m,3
2966,177.7101772,-28.0725717,0.3787,m,3
2300,177.7076772,-28.0716775,0.3731,m,3
2942,177.7073944,-28.0715554,0.373,m,3
6043,177.7077855,-28.0729905,4.5173,m,9
2210,177.7087289,-28.0711959,3.137,m,1
2888,177.7093972,-28.0698806,0.3727,m,3
2278,177.7122913,-28.0713655,0.3765,m,3
2915,177.7105631,-28.0700669,1.9879,m,1
2714,177.7064143,-28.0695126,0.3856,m,3
2820,177.7051926,-28.0687665,0.3826,m,3
2360,177.7073905,-28.0682959,2.2748,m,9
2443,177.707202,-28.0683559,2.2748,m,1
2454,177.7069955,-28.0681235,0.3811,m,3
2787,177.7075497,-28.0679015,0.3899,m,3
2800,177.7082336,-28.068131,2.2748,m,1
2722,177.7105765,-28.0665778,0.3868,d,3
2605,177.7096898,-28.0647837,0.3887,d,3
2556,177.7144819,-28.0673631,0.3811,d,3
2709,177.7176979,-28.0657394,0.3954,d,3
2707,177.7155539,-28.0638212,0.3747,d,3
2504,177.7167041,-28.0619369,0.3897,d,3
2539,177.7172684,-28.0588109,0.3779,d,3
2001,177.7205129,-28.0545123,0.388,d,3
2532,177.705438,-28.0639373,0.3904,d,3
2527,177.703012,-28.06343,1.3063,d,3
2659,177.7034142,-28.0633219,1.3062,d,3
2437,177.6978921,-28.0635227,1.3427,d,3
1734,177.7131591,-28.0461508,0.3837,d,3
