id,ra,dec,zspec,q_zsp
VANDELS_CDFS_002429,53.234560,-27.892090,4.5488,3
VANDELS_CDFS_002860,53.232210,-27.887100,2.9687,2
VANDELS_CDFS_003037,53.223740,-27.884410,3.4622,4
VANDELS_CDFS_002501,53.207430,-27.891140,3.0836,3
VANDELS_CDFS_002742,53.212810,-27.888750,2.838,21
VANDELS_CDFS_027719,53.203300,-27.887350,3.0416,1
VANDELS_CDFS_002911,53.210680,-27.885910,3.4848,4
VANDELS_CDFS_002683,53.217930,-27.888700,3.6926,4
VANDELS_CDFS_003649,53.208380,-27.878030,3.0562,1
VANDELS_CDFS_003906,53.217370,-27.875080,3.4658,4
VANDELS_CDFS_004237,53.241110,-27.872420,3.5942,4
VANDELS_CDFS_004160,53.254040,-27.874890,1.0872,4
VANDELS_CDFS_215630,53.260460,-27.868330,3.537,1
VANDELS_CDFS_028200,53.245530,-27.870760,3.4645,9
VANDELS_CDFS_113988,53.253840,-27.863270,3.1246,4
VANDELS_CDFS_003966,53.227480,-27.874710,2.5811,2
VANDELS_CDFS_004484,53.234030,-27.869810,2.971,2
VANDELS_CDFS_004580,53.225350,-27.869180,2.5815,4
VANDELS_CDFS_028289,53.225960,-27.868310,,0
VANDELS_CDFS_005339,53.227850,-27.861250,2.3262,1
VANDELS_CDFS_005058,53.239640,-27.863870,4.1664,4
VANDELS_CDFS_005090,53.242930,-27.863480,3.9023,1
VANDELS_CDFS_005198,53.238210,-27.862490,4.7514,4
VANDELS_CDFS_114560,53.247940,-27.860340,2.628,4
VANDELS_CDFS_002997,53.199780,-27.884940,4.1541,4
VANDELS_CDFS_003974,53.199180,-27.874340,4.0136,4
VANDELS_CDFS_003673,53.206410,-27.878090,1.2477,3
VANDELS_CDFS_004121,53.202830,-27.873500,2.8639,3
VANDELS_CDFS_004636,53.213440,-27.868080,3.74,3
VANDELS_CDFS_004864,53.202470,-27.866070,2.572,2
VANDELS_CDFS_004151,53.182430,-27.872850,3.6453,4
VANDELS_CDFS_028235,53.186400,-27.869600,3.3564,1
VANDELS_CDFS_028135,53.180380,-27.873010,3.2387,1
VANDELS_CDFS_005077,53.192750,-27.863770,3.0831,1
VANDELS_CDFS_028561,53.201270,-27.859630,,0
VANDELS_CDFS_005891,53.194280,-27.855530,3.077,4
VANDELS_CDFS_006390,53.196570,-27.851700,1.2219,4
VANDELS_CDFS_006129,53.214170,-27.853030,2.436,4
VANDELS_CDFS_006417,53.222140,-27.850210,3.4597,4
VANDELS_CDFS_006376,53.220490,-27.850230,3.5539,24
VANDELS_CDFS_007541,53.230200,-27.839580,4.1634,4
VANDELS_CDFS_006585,53.207650,-27.849010,3.285,2
VANDELS_CDFS_006603,53.200060,-27.848030,,20
VANDELS_CDFS_028959,53.200280,-27.848040,3.241,1
VANDELS_CDFS_008318,53.221210,-27.832920,4.1597,2
VANDELS_CDFS_008544,53.214650,-27.830990,3.7399,9
VANDELS_CDFS_114290,53.262730,-27.862680,3.5838,4
VANDELS_CDFS_216417,53.264970,-27.862580,3.4622,3
VANDELS_CDFS_219609,53.272960,-27.837680,3.11,1
VANDELS_CDFS_218114,53.246730,-27.849440,4.2355,2
VANDELS_CDFS_219261,53.251210,-27.840650,4.2311,2
VANDELS_CDFS_219213,53.249460,-27.840590,3.6943,21
VANDELS_CDFS_221733,53.295150,-27.822490,4.4458,3
VANDELS_CDFS_221735,53.293130,-27.822080,3.18,1
VANDELS_CDFS_118549,53.280410,-27.824170,1.0469,4
VANDELS_CDFS_221566,53.271340,-27.823690,4.6444,3
VANDELS_CDFS_222316,53.275120,-27.817630,4.627,3
VANDELS_CDFS_117156,53.237370,-27.835740,1.1463,4
VANDELS_CDFS_119002,53.249730,-27.823340,3.0868,4
VANDELS_CDFS_029763,53.238440,-27.825990,3.105,9
VANDELS_CDFS_009489,53.232470,-27.822870,3.912,4
VANDELS_CDFS_009699,53.225380,-27.821120,5.164,9
VANDELS_CDFS_119130,53.259020,-27.822190,3.3431,3
VANDELS_CDFS_119091,53.260290,-27.821550,3.4594,4
VANDELS_CDFS_222447,53.262880,-27.815300,3.483,2
VANDELS_CDFS_222048,53.255560,-27.820240,3.8276,3
VANDELS_CDFS_122324,53.266990,-27.795810,3.3427,4
VANDELS_CDFS_225603,53.254460,-27.792760,3.347,3
VANDELS_CDFS_225707,53.255720,-27.792620,3.7242,3
VANDELS_CDFS_123219,53.260120,-27.788090,3.3462,4
VANDELS_CDFS_202040,53.010210,-27.971030,3.4725,3
VANDELS_CDFS_102149,52.998840,-27.967380,2.613,4
VANDELS_CDFS_202493,53.004260,-27.967210,3.7109,4
VANDELS_CDFS_102159,53.004600,-27.967200,3.6358,1
VANDELS_CDFS_101596,53.056860,-27.972300,3.4728,4
VANDELS_CDFS_202205,53.048440,-27.969980,4.703,4
VANDELS_CDFS_101602,53.029170,-27.970520,1.094,4
VANDELS_CDFS_101678,53.027710,-27.970160,1.0917,4
VANDELS_CDFS_101749,53.029590,-27.968570,1.0979,4
VANDELS_CDFS_101829,53.039940,-27.969260,1.118,4
VANDELS_CDFS_102290,53.047470,-27.965230,1.1132,23
VANDELS_CDFS_202794,53.048170,-27.964180,4.4266,4
VANDELS_CDFS_202370,53.036930,-27.968300,3.485,1
VANDELS_CDFS_202589,53.038140,-27.966620,3.3604,1
VANDELS_CDFS_102433,53.054510,-27.965130,4.3023,4
VANDELS_CDFS_000037,53.083110,-27.953340,3.0703,3
VANDELS_CDFS_103163,53.068600,-27.953480,1.089,4
VANDELS_CDFS_204552,53.060310,-27.950390,3.4038,2
VANDELS_CDFS_104033,53.061570,-27.947820,0.0,3
VANDELS_CDFS_205737,53.061840,-27.942160,4.054,3
VANDELS_CDFS_105327,53.063760,-27.938030,3.0689,4
VANDELS_CDFS_206280,53.066690,-27.937730,3.068,4
