id,ra,dec,zspec,Conf
404028319,53.28154,-27.86739,3.8978,1
404036412,53.28068,-27.86705,4.6592,3
404004160,53.27608,-27.86954,3.0547,2
404025316,53.27506,-27.86708,3.7237,3
404014274,53.27929,-27.86714,3.5131,1
404053440,53.2672,-27.87086,5.9479,2
404016276,53.27148,-27.86992,3.6032,2
404015275,53.27013,-27.8667,3.5479,1
404041418,53.27005,-27.86125,4.9192,3
404054441,53.2717,-27.86195,6.0606,1
401043364,53.28312,-27.86494,3.7743,2
401007301,53.28505,-27.86167,2.9711,1
401067408,53.2848,-27.86039,4.4071,2
401037352,53.28706,-27.85987,3.6243,2
401010304,53.28743,-27.85692,3.0363,2
401074421,53.27854,-27.86157,4.8011,1
401009303,53.27881,-27.85887,3.0156,1
401018319,53.28047,-27.8588,3.3768,2
401069411,53.27351,-27.85803,4.4438,1
401064404,53.28375,-27.85492,4.3576,1
401020322,53.28,-27.85382,3.4615,3
401023329,53.29077,-27.85424,3.5236,1
403033115,53.25392,-27.86828,4.9817,1
403007053,53.25161,-27.86573,3.4652,2
403004047,53.25395,-27.86335,3.1354,3
403022095,53.2492,-27.86065,4.4306,2
121004014,53.213,-27.83243,3.3032,2
121013032,53.2145,-27.83099,3.7408,2
121034079,53.21778,-27.8299,5.7893,1
403009058,53.26225,-27.86481,3.5993,1
404010192,53.26504,-27.86282,3.463,2
402007149,53.26857,-27.85831,3.4731,3
403021094,53.26585,-27.85942,4.39,3
402043219,53.26795,-27.8569,4.0941,1
402051239,53.26641,-27.85648,4.6414,2
402042218,53.26578,-27.8553,4.0939,2
403029111,53.25859,-27.85907,4.7698,2
402031198,53.26518,-27.85472,3.7111,2
402052240,53.2591,-27.85039,4.6422,1
402061313,53.26136,-27.8503,4.8078,1
402032199,53.26204,-27.8495,3.7136,2
402037210,53.26257,-27.84931,3.8373,1
401011305,53.27471,-27.85309,3.0406,2
401065405,53.26997,-27.85518,4.3904,2
402064316,53.2712,-27.85432,5.0018,1
402027191,53.27094,-27.85382,3.674,1
401013313,53.27667,-27.84712,3.2348,1
402016161,53.26707,-27.84808,3.6024,2
402004146,53.26338,-27.84666,3.125,0
402022175,53.26859,-27.84594,3.6623,2
402015160,53.27439,-27.84523,3.5975,3
402006148,53.27506,-27.84437,3.4202,2
402047229,53.27113,-27.84197,4.3832,1
402035208,53.27046,-27.84134,3.7953,1
403015069,53.25372,-27.85355,3.7222,1
402005147,53.25951,-27.84677,3.3903,3
402053241,53.26166,-27.84459,4.6573,2
402071324,53.26426,-27.83978,5.6926,1
402008150,53.26238,-27.83888,3.4936,2
121019045,53.2236,-27.83072,4.2713,2
105005027,53.08994,-27.87274,3.2051,3
105007031,53.08475,-27.8747,3.556,2
117005019,53.15389,-27.85172,3.367,2
115021115,53.12082,-27.86223,3.5924,3
115004089,53.11645,-27.86429,3.0267,3
110015049,53.1044,-27.86724,4.1451,2
110004006,53.10864,-27.86447,3.417,2
110003005,53.1114,-27.86291,3.4165,2
110006008,53.10291,-27.86323,3.7044,3
110018062,53.10556,-27.86285,4.6449,2
115045177,53.11331,-27.86272,4.8467,2
115036157,53.11184,-27.85575,4.3107,3
110002003,53.10475,-27.85711,3.3563,2
116005062,53.13862,-27.85763,3.1117,3
116021094,53.13248,-27.85631,3.7027,3
116023096,53.13527,-27.85593,3.9452,2
