id,ra,dec,zspec,zconf
MUSE-239_12.2,69.290381,0.735303,4.7668,3
MUSE-241_12.3,69.283842,0.733540,4.7668,3
MUSE-166,69.284599,0.737604,4.8886,3
MUSE-210,69.285296,0.742599,5.196,2
MUSE-159_7.3,69.284390,0.735687,5.2013,3
MUSE-172_7.2,69.291284,0.736444,5.2013,3
MUSE-184_7.1,69.296672,0.732266,5.2013,3
MUSE-204,69.297585,0.724004,5.232,3
MUSE-170_3.3,69.282084,0.728936,5.2377,3
MUSE-199_3.1+3.2,69.290775,0.724778,5.2377,3
MUSE-250,69.292557,0.728741,5.302,1
MUSE-43_4.1,69.289819,0.733229,5.3151,3
MUSE-126_4.4,69.283442,0.731427,5.3151,3
MUSE-121_4.2,69.296183,0.728175,5.3151,3
MUSE-123_4.3,69.287825,0.727377,5.3151,3
MUSE-117,69.294173,0.718251,5.763,2
MUSE-200,69.301204,0.734641,5.769,1
MUSE-243_10.4,69.288038,0.732499,6.0196,3
MUSE-196_10.1+10.2,69.286216,0.730644,6.0196,3
MUSE-207_10.3,69.288109,0.731948,6.0196,3
MUSE-139,69.300852,0.726032,6.2743,1
MUSE-116_13.2,69.284631,0.726680,6.4425,2
MUSE-156_13.1,69.285852,0.726012,6.4425,2
