id, ra, dec, zphot, zphot_err, xi_Ha
JADES-GS+53.16881-27.74636, 53.16881, -27.74636  ,  4.3195  ,  0.0475  ,  25.67  
JADES-GS+53.15605-27.73040, 53.15605, -27.73040  ,  4.3195  ,  0.0487  ,  25.74  
JADES-GS+53.15048-27.83141, 53.15048, -27.83141  ,  4.3196  ,  0.0417  ,  25.13  
JADES-GS+53.13193-27.80160, 53.13193, -27.80160  ,  4.3196  ,  0.0424  ,  25.94  
JADES-GS+53.15499-27.75105, 53.15499, -27.75105  ,  4.3196  ,  0.0432  ,  25.39  
JADES-GS+53.21755-27.76378, 53.21755, -27.76378  ,  4.3196  ,  0.0412  ,  25.69  
JADES-GS+53.17054-27.75712, 53.17054, -27.75712  ,  4.3196  ,  0.0399  ,  25.53  
JADES-GS+53.16162-27.75065, 53.16162, -27.75065  ,  4.3197  ,  0.0381  ,  25.40  
JADES-GS+53.19533-27.80980, 53.19533, -27.80980  ,  4.3289  ,  0.0682  ,  25.28  
JADES-GS+53.18807-27.75689, 53.18807, -27.75689  ,  4.3289  ,  0.0695  ,  25.43  
JADES-GS+53.15489-27.75784, 53.15489, -27.75784  ,  4.3292  ,  0.0605  ,  25.57  
JADES-GS+53.15071-27.82858, 53.15071, -27.82858  ,  4.3293  ,  0.0532  ,  25.44  
JADES-GS+53.13525-27.79779, 53.13525, -27.79779  ,  4.3293  ,  0.0547  ,  25.25  
JADES-GS+53.21098-27.77018, 53.21098, -27.77018  ,  4.3293  ,  0.0533  ,  25.39  
JADES-GS+53.17357-27.83158, 53.17357, -27.83158  ,  4.3294  ,  0.0490  ,  25.52  
JADES-GS+53.15694-27.75715, 53.15694, -27.75715  ,  4.3294  ,  0.0504  ,  25.52  
JADES-GS+53.17356-27.83163, 53.17356, -27.83163  ,  4.3294  ,  0.0500  ,  25.52  
JADES-GS+53.15129-27.83141, 53.15129, -27.83141  ,  4.3294  ,  0.0528  ,  25.49  
JADES-GS+53.13017-27.81562, 53.13017, -27.81562  ,  4.3295  ,  0.0461  ,  25.59  
JADES-GS+53.16068-27.72569, 53.16068, -27.72569  ,  4.3295  ,  0.0471  ,  25.52  
JADES-GS+53.16653-27.75353, 53.16653, -27.75353  ,  4.3295  ,  0.0485  ,  25.43  
JADES-GS+53.17603-27.75156, 53.17603, -27.75156  ,  4.3295  ,  0.0442  ,  25.43  
JADES-GS+53.16687-27.79692, 53.16687, -27.79692  ,  4.3296  ,  0.0440  ,  25.36  
JADES-GS+53.21926-27.77169, 53.21926, -27.77169  ,  4.3296  ,  0.0431  ,  25.38  
JADES-GS+53.21220-27.77154, 53.21220, -27.77154  ,  4.3296  ,  0.0414  ,  25.27  
JADES-GS+53.16163-27.75072, 53.16163, -27.75072  ,  4.3297  ,  0.0366  ,  25.27  
JADES-GS+53.16871-27.81521, 53.16871, -27.81521  ,  4.3390  ,  0.0643  ,  25.53  
JADES-GS+53.14780-27.75389, 53.14780, -27.75389  ,  4.3392  ,  0.0581  ,  25.41  
JADES-GS+53.15280-27.83088, 53.15280, -27.83088  ,  4.3393  ,  0.0564  ,  25.39  
JADES-GS+53.16219-27.72874, 53.16219, -27.72874  ,  4.3393  ,  0.0554  ,  25.33  
JADES-GS+53.18011-27.78702, 53.18011, -27.78702  ,  4.3393  ,  0.0548  ,  25.00  
JADES-GS+53.15376-27.73426, 53.15376, -27.73426  ,  4.3393  ,  0.0531  ,  25.46  
JADES-GS+53.12009-27.78299, 53.12009, -27.78299  ,  4.3394  ,  0.0530  ,  25.04  
JADES-GS+53.20112-27.77291, 53.20112, -27.77291  ,  4.3394  ,  0.0503  ,  25.36  
JADES-GS+53.20836-27.76717, 53.20836, -27.76717  ,  4.3394  ,  0.0530  ,  25.46  
JADES-GS+53.20613-27.75516, 53.20613, -27.75516  ,  4.3394  ,  0.0512  ,  25.42  
JADES-GS+53.16888-27.74636, 53.16888, -27.74636  ,  4.3394  ,  0.0502  ,  25.29  
JADES-GS+53.15828-27.83311, 53.15828, -27.83311  ,  4.3395  ,  0.0461  ,  25.39  
JADES-GS+53.14208-27.80819, 53.14208, -27.80819  ,  4.3395  ,  0.0484  ,  25.58  
JADES-GS+53.16624-27.83535, 53.16624, -27.83535  ,  4.3395  ,  0.0483  ,  25.33  
JADES-GS+53.16951-27.82916, 53.16951, -27.82916  ,  4.3490  ,  0.0658  ,  25.41  
JADES-GS+53.16589-27.75882, 53.16589, -27.75882  ,  4.3491  ,  0.0616  ,  25.43  
JADES-GS+53.18246-27.74743, 53.18246, -27.74743  ,  4.3493  ,  0.0539  ,  25.51  
JADES-GS+53.17512-27.82409, 53.17512, -27.82409  ,  4.3494  ,  0.0491  ,  25.30  
JADES-GS+53.14750-27.80262, 53.14750, -27.80262  ,  4.3494  ,  0.0527  ,  25.40  
JADES-GS+53.19947-27.78052, 53.19947, -27.78052  ,  4.3494  ,  0.0491  ,  25.34  
JADES-GS+53.15069-27.77052, 53.15069, -27.77052  ,  4.3494  ,  0.0509  ,  25.37  
JADES-GS+53.22022-27.75776, 53.22022, -27.75776  ,  4.3494  ,  0.0512  ,  25.29  
JADES-GS+53.14387-27.81584, 53.14387, -27.81584  ,  4.3495  ,  0.0480  ,  25.30  
JADES-GS+53.19396-27.80821, 53.19396, -27.80821  ,  4.3495  ,  0.0480  ,  25.35  
JADES-GS+53.20505-27.79410, 53.20505, -27.79410  ,  4.3496  ,  0.0403  ,  25.49  
JADES-GS+53.19048-27.80475, 53.19048, -27.80475  ,  4.3594  ,  0.0512  ,  25.29  
JADES-GS+53.17957-27.80120, 53.17957, -27.80120  ,  4.3594  ,  0.0519  ,  25.35  
JADES-GS+53.19362-27.75568, 53.19362, -27.75568  ,  4.3594  ,  0.0522  ,  25.18  
JADES-GS+53.16456-27.82323, 53.16456, -27.82323  ,  4.3594  ,  0.0492  ,  25.23  
JADES-GS+53.19187-27.76117, 53.19187, -27.76117  ,  4.3595  ,  0.0485  ,  25.36  
JADES-GS+53.15622-27.73481, 53.15622, -27.73481  ,  4.3595  ,  0.0468  ,  25.50  
JADES-GS+53.15268-27.83137, 53.15268, -27.83137  ,  4.3596  ,  0.0430  ,  25.47  
JADES-GS+53.17842-27.82132, 53.17842, -27.82132  ,  4.3596  ,  0.0423  ,  25.18  
JADES-GS+53.18647-27.79286, 53.18647, -27.79286  ,  4.3631  ,  0.0584  ,  25.03  
JADES-GS+53.15858-27.73075, 53.15858, -27.73075  ,  4.3692  ,  0.0580  ,  25.41  
JADES-GS+53.15853-27.74090, 53.15853, -27.74090  ,  4.3695  ,  0.0450  ,  25.25  
JADES-GS+53.16281-27.83971, 53.16281, -27.83971  ,  4.3995  ,  0.0467  ,  25.38  
JADES-GS+53.16158-27.74002, 53.16158, -27.74002  ,  4.4094  ,  0.0504  ,  24.99  
JADES-GS+53.13125-27.81542, 53.13125, -27.81542  ,  4.4494  ,  0.0497  ,  25.41  
JADES-GS+53.14563-27.82339, 53.14563, -27.82339  ,  4.4598  ,  0.0332  ,  25.30  
JADES-GS+53.13479-27.80496, 53.13479, -27.80496  ,  4.4890  ,  0.0667  ,  25.53  
JADES-GS+53.15888-27.73408, 53.15888, -27.73408  ,  4.4893  ,  0.0545  ,  25.75  
JADES-GS+53.15199-27.80805, 53.15199, -27.80805  ,  4.4938  ,  0.0470  ,  25.50  
JADES-GS+53.19582-27.74341, 53.19582, -27.74341  ,  4.4993  ,  0.0550  ,  25.50  
JADES-GS+53.10993-27.80412, 53.10993, -27.80412  ,  4.4996  ,  0.0406  ,  25.09  
JADES-GS+53.17124-27.82838, 53.17124, -27.82838  ,  4.5032  ,  0.0482  ,  25.35  
JADES-GS+53.16574-27.77176, 53.16574, -27.77176  ,  4.5036  ,  0.0592  ,  25.40  
JADES-GS+53.14807-27.79507, 53.14807, -27.79507  ,  4.5096  ,  0.0483  ,  25.25  
JADES-GS+53.12561-27.78673, 53.12561, -27.78673  ,  4.5194  ,  0.0514  ,  25.47  
JADES-GS+53.19865-27.77928, 53.19865, -27.77928  ,  4.5194  ,  0.0537  ,  24.94  
JADES-GS+53.16718-27.76251, 53.16718, -27.76251  ,  4.5196  ,  0.0435  ,  25.39  
JADES-GS+53.16264-27.80368, 53.16264, -27.80368  ,  4.5280  ,  0.0633  ,  25.57  
JADES-GS+53.14161-27.80065, 53.14161, -27.80065  ,  4.5388  ,  0.0729  ,  24.94  
JADES-GS+53.11398-27.80615, 53.11398, -27.80615  ,  4.5393  ,  0.0543  ,  25.51  
JADES-GS+53.16776-27.84090, 53.16776, -27.84090  ,  4.5496  ,  0.0446  ,  24.82  
JADES-GS+53.17229-27.81205, 53.17229, -27.81205  ,  4.5992  ,  0.0603  ,  24.97  
JADES-GS+53.11392-27.80620, 53.11392, -27.80620  ,  4.6092  ,  0.0605  ,  25.25  
JADES-GS+53.15144-27.79984, 53.15144, -27.79984  ,  4.6092  ,  0.0589  ,  25.09  
JADES-GS+53.17556-27.81385, 53.17556, -27.81385  ,  4.6094  ,  0.0505  ,  25.28  
JADES-GS+53.14996-27.80181, 53.14996, -27.80181  ,  4.6094  ,  0.0535  ,  25.23  
JADES-GS+53.16575-27.81653, 53.16575, -27.81653  ,  4.6194  ,  0.0673  ,  25.34  
JADES-GS+53.21008-27.78447, 53.21008, -27.78447  ,  4.6391  ,  0.0644  ,  25.24  
JADES-GS+53.13285-27.80186, 53.13285, -27.80186  ,  4.6465  ,  0.0505  ,  25.88  
JADES-GS+53.13858-27.77043, 53.13858, -27.77043  ,  4.6593  ,  0.0575  ,  25.53  
JADES-GS+53.16715-27.81679, 53.16715, -27.81679  ,  4.6794  ,  0.0550  ,  25.28  
JADES-GS+53.14215-27.82567, 53.14215, -27.82567  ,  4.6794  ,  0.0536  ,  25.19  
JADES-GS+53.16948-27.76566, 53.16948, -27.76566  ,  4.6886  ,  0.0584  ,  25.52  
JADES-GS+53.12397-27.78598, 53.12397, -27.78598  ,  4.6892  ,  0.0607  ,  25.48  
JADES-GS+53.20708-27.76875, 53.20708, -27.76875  ,  4.6894  ,  0.0535  ,  25.41  
JADES-GS+53.16802-27.84112, 53.16802, -27.84112  ,  4.6895  ,  0.0465  ,  25.48  
JADES-GS+53.15813-27.79882, 53.15813, -27.79882  ,  4.6992  ,  0.0613  ,  25.42  
JADES-GS+53.18077-27.77446, 53.18077, -27.77446  ,  4.6993  ,  0.0554  ,  25.24  
JADES-GS+53.19605-27.74358, 53.19605, -27.74358  ,  4.6995  ,  0.0500  ,  25.68  
JADES-GS+53.19003-27.77913, 53.19003, -27.77913  ,  4.7013  ,  0.0668  ,  24.99  
JADES-GS+53.17699-27.73459, 53.17699, -27.73459  ,  4.7094  ,  0.0514  ,  25.45  
JADES-GS+53.19298-27.81272, 53.19298, -27.81272  ,  4.7294  ,  0.0546  ,  25.35  
JADES-GS+53.16251-27.73023, 53.16251, -27.73023  ,  4.7295  ,  0.0505  ,  24.83  
JADES-GS+53.18070-27.77445, 53.18070, -27.77445  ,  4.7389  ,  0.0734  ,  25.55  
JADES-GS+53.18133-27.80402, 53.18133, -27.80402  ,  4.7393  ,  0.0558  ,  25.39  
JADES-GS+53.17565-27.81176, 53.17565, -27.81176  ,  4.7395  ,  0.0506  ,  25.77  
JADES-GS+53.16104-27.79298, 53.16104, -27.79298  ,  4.7448  ,  0.0650  ,  25.51  
JADES-GS+53.13992-27.82682, 53.13992, -27.82682  ,  4.7492  ,  0.0606  ,  25.45  
JADES-GS+53.13612-27.80399, 53.13612, -27.80399  ,  4.7494  ,  0.0545  ,  25.46  
JADES-GS+53.19691-27.80582, 53.19691, -27.80582  ,  4.7595  ,  0.0480  ,  25.52  
JADES-GS+53.12739-27.78524, 53.12739, -27.78524  ,  4.7598  ,  0.0546  ,  25.30  
JADES-GS+53.18142-27.82207, 53.18142, -27.82207  ,  4.7620  ,  0.0676  ,  25.36  
JADES-GS+53.13988-27.82677, 53.13988, -27.82677  ,  4.7689  ,  0.0721  ,  25.51  
JADES-GS+53.15810-27.78642, 53.15810, -27.78642  ,  4.7692  ,  0.0621  ,  25.50  
JADES-GS+53.16719-27.77459, 53.16719, -27.77459  ,  4.7721  ,  0.0660  ,  25.66  
JADES-GS+53.15817-27.78648, 53.15817, -27.78648  ,  4.7774  ,  0.0552  ,  25.19  
JADES-GS+53.18532-27.79081, 53.18532, -27.79081  ,  4.7918  ,  0.0560  ,  25.34  
JADES-GS+53.14778-27.82649, 53.14778, -27.82649  ,  4.7990  ,  0.0687  ,  25.45  
JADES-GS+53.16717-27.75995, 53.16717, -27.75995  ,  4.7990  ,  0.0691  ,  24.82  
JADES-GS+53.15500-27.78637, 53.15500, -27.78637  ,  4.7992  ,  0.0620  ,  25.62  
JADES-GS+53.15663-27.72531, 53.15663, -27.72531  ,  4.7994  ,  0.0558  ,  25.47  
JADES-GS+53.16268-27.80237, 53.16268, -27.80237  ,  4.8041  ,  0.0645  ,  25.20  
JADES-GS+53.18381-27.79459, 53.18381, -27.79459  ,  4.8093  ,  0.0579  ,  25.90  
JADES-GS+53.17985-27.80095, 53.17985, -27.80095  ,  4.8117  ,  0.0639  ,  25.37  
JADES-GS+53.17544-27.80644, 53.17544, -27.80644  ,  4.8191  ,  0.0653  ,  25.61  
JADES-GS+53.20065-27.78003, 53.20065, -27.78003  ,  4.8193  ,  0.0574  ,  25.52  
JADES-GS+53.12917-27.79234, 53.12917, -27.79234  ,  4.8194  ,  0.0517  ,  25.33  
JADES-GS+53.20142-27.76088, 53.20142, -27.76088  ,  4.8195  ,  0.0479  ,  25.08  
