id,ra,dec,z_excels_v1,zflag_excels_v1,zspec
119429,34.285230603,-5.1343215259,2.911,4,2.911
119437,34.2679906,-5.1342209487,4.107,4,4.107
119504,34.402488894,-5.1344691468,7.917,4,7.917
119512,34.266036777,-5.1341980186,4.057,1,4.057
119533,34.279075036,-5.1339804092,3.667,4,3.667
119809,34.398883483,-5.1339719293,7.891,4,7.891
120457,34.399945232,-5.1324871496,1.827,4,1.827
120558,34.256090279,-5.131942173,0.816,4,0.816
120567,34.269178716,-5.132377168,6.197,4,6.197
120614,34.357297215,-5.1324775572,2.532,4,2.532
120665,34.391240513,-5.1324799054,3.82,9,3.82
120715,34.363346673,-5.131826309,3.077,4,3.077
121003,34.397598407,-5.1310545006,2.125,4,2.125
121178,34.388612775,-5.1308110432,1.605,4,1.605
121510,34.233003143,-5.1308010809,1.659,4,1.659
121538,34.352669957,-5.1303271161,2.25,4,2.25
121620,34.243094816,-5.1312191355,0.622,4,0.622
121806,34.403895681,-5.1304353732,5.225,4,5.225
122162,34.230840867,-5.1301728403,2.959,4,2.959
122359,34.254513566,-5.1295588877,2.858,4,2.858
122434,34.386146844,-5.1291538212,6.378,4,6.378
122839,34.233101836,-5.1272341274,1.412,4,1.412
122924,34.269304552,-5.1288826766,3.924,4,3.924
123597,34.366028259,-5.1280018348,3.798,4,3.798
123837,34.381747705,-5.1274061371,2.617,4,2.617
123852,34.382017731,-5.1264850002,2.519,4,2.519
124117,34.393025291,-5.1258468619,1.41,4,1.41
124240,34.408094636,-5.1268288977,3.549,4,3.549
124285,34.387716425,-5.1268050536,2.622,4,2.622
124483,34.38603208,-5.126632359,2.924,4,2.924
124598,34.383263931,-5.126259116,1.823,4,1.823
124756,34.406129224,-5.1260076415,2.617,4,2.617
125231,34.39983242,-5.1253447457,1.532,4,1.532
126142,34.253668225,-5.1237617418,3.478,4,3.478
127460,34.397282953,-5.1205405534,2.531,4,2.531
127608,34.237589645,-5.1213152566,4.806,4,4.806
128165,34.239536961,-5.120524525,2.989,2,2.989
129267,34.366788967,-5.1188365225,3.499,4,3.499
129326,34.36964986,-5.1186893087,3.323,4,3.323
130014,34.371075073,-5.1173330637,1.684,4,1.684
130015,34.37127042,-5.1176721767,5.344,4,5.344
130924,34.371210941,-5.115864254,1.683,4,1.683
131368,34.380356252,-5.1161055021,7.215,4,7.215
131632,34.375292474,-5.1154463409,5.345,4,5.345
134576,34.363653829,-5.1107481665,4.685,1,4.685
