id,ra,dec,z_ALT,n_lines_detected,zspec
24314,3.6018821,-30.4049887,4.33402,1,
24322,3.6339299,-30.4048204,2.009673,1,
24342,3.5761108,-30.4044632,5.658473,3,5.658473
24393,3.6000573,-30.4043649,5.281518,2,5.281518
24452,3.6010529,-30.4039748,6.325015,1,
24481,3.5598793,-30.403745,5.794686,2,5.794686
24529,3.6198177,-30.4043164,2.934883,2,2.934883
24568,3.5497317,-30.4042427,2.675895,2,2.675895
24587,3.6092347,-30.4035501,4.759065,1,
24610,3.5598171,-30.403707,5.792143,1,
24626,3.5687199,-30.4038992,6.113988,1,
24724,3.6091172,-30.4033372,4.739415,2,4.739415
24742,3.5700599,-30.4036884,5.538297,1,
24750,3.609272,-30.4032683,4.7524,1,
24754,3.6057523,-30.4036535,5.043851,1,
24762,3.5538402,-30.4039528,2.654105,1,
24779,3.5678171,-30.4036337,4.722676,1,
24805,3.6091464,-30.4032345,4.745888,1,
24867,3.5818468,-30.4031301,6.182954,1,
24895,3.5859296,-30.4031332,4.75218,1,
25068,3.621005,-30.402902,6.323282,1,
25111,3.6128286,-30.404967,3.052675,1,
25146,3.5653634,-30.4033445,2.174482,1,
25178,3.6325368,-30.4026265,6.363885,1,
25184,3.5510515,-30.4029947,4.751011,1,
25230,3.5450691,-30.4041227,0.779102,1,
25232,3.5732422,-30.4029546,3.778914,1,
25250,3.5537687,-30.4025609,4.274843,1,
25321,3.6092073,-30.4034272,4.752298,1,
25350,3.5538816,-30.4023072,4.274341,1,
25409,3.5451758,-30.4022557,5.910178,1,
25416,3.6095286,-30.4023177,4.084617,1,
25429,3.5445474,-30.4032195,1.08614,1,
25476,3.5538332,-30.4025793,4.27785,1,
25485,3.6186656,-30.4022553,6.11448,3,6.11448
25502,3.5462281,-30.4023664,2.6544,3,2.6544
25527,3.5509564,-30.402638,0.945056,1,
25531,3.6141416,-30.4025999,1.039593,1,
25540,3.552439,-30.4022575,3.965829,1,
25620,3.5686254,-30.4025082,2.579717,4,2.579717
25698,3.6302009,-30.4023537,1.039952,1,
25733,3.6187732,-30.4018041,4.967227,1,
25762,3.5458915,-30.4017698,0.752737,1,
25771,3.5603133,-30.4032892,0.944906,2,0.944906
25799,3.5522463,-30.4016248,5.655233,1,
25842,3.6188236,-30.4014963,4.959036,1,
25851,3.5504745,-30.4016006,2.650411,2,2.650411
25854,3.6115678,-30.4017651,6.667704,1,
25912,3.6203137,-30.4016371,6.326842,3,6.326842
25937,3.5982457,-30.4023016,2.661529,1,
25946,3.6190265,-30.4016206,4.966234,1,
25961,3.6188863,-30.4015547,4.965894,1,
25989,3.5766173,-30.4017981,3.979845,1,
25990,3.5985192,-30.4017721,2.017349,2,2.017349
25992,3.5874353,-30.4013483,6.87207,3,6.87207
26082,3.6229828,-30.4019786,1.867336,1,
26124,3.5452991,-30.4014964,5.773981,3,5.773981
26222,3.6251207,-30.4014176,2.494051,1,
26226,3.6117891,-30.401073,5.460886,1,
26240,3.5502599,-30.4011222,2.653869,1,
26332,3.6094305,-30.4015709,1.044227,1,
26343,3.559257,-30.4019204,0.945473,1,
26371,3.5506444,-30.4017176,2.659287,4,2.659287
26393,3.577256,-30.401611,2.583214,2,2.583214
26616,3.612512,-30.4005938,6.584555,3,6.584555
26622,3.6158204,-30.4009842,1.104594,1,
26638,3.5553553,-30.4001087,6.021875,1,
26676,3.564597,-30.4002065,4.609686,1,
26683,3.6093986,-30.4002564,2.669002,4,2.669002
26693,3.5805272,-30.4003969,4.959221,1,
26759,3.6198856,-30.4000418,6.227036,1,
26775,3.5428841,-30.4001011,3.962073,1,
26808,3.5533956,-30.3999697,0.685906,1,
26823,3.5550328,-30.3997509,5.790731,1,
26872,3.5465862,-30.3996771,0.762921,2,0.762921
26897,3.5400274,-30.399811,6.227992,2,6.227992
26902,3.6206071,-30.399951,6.343574,1,
26932,3.6094465,-30.4003738,2.675606,4,2.675606
26935,3.6329809,-30.3994667,6.128578,1,
26942,3.5406932,-30.3995416,2.982872,1,
26948,3.6219094,-30.4045889,1.068938,2,1.068938
26950,3.6219732,-30.4001715,2.40517,2,2.40517
26958,3.5991451,-30.3995674,4.908303,1,
26974,3.5689305,-30.4027924,2.583488,2,2.583488
26977,3.5607572,-30.399441,5.7766,1,
26980,3.5752497,-30.3995897,1.77275,1,
26987,3.6196588,-30.3994915,6.225871,1,
27021,3.5668548,-30.3995815,2.103448,1,
27044,3.5610994,-30.3993238,5.775133,3,5.775133
27051,3.5726083,-30.3992604,5.049264,1,
27075,3.5466974,-30.3997324,0.762846,2,0.762846
27095,3.6063323,-30.3992652,6.581859,1,
27108,3.5610854,-30.3992584,5.768642,2,5.768642
27109,3.5426126,-30.39992,3.96257,1,
27148,3.5561364,-30.3991613,4.398414,1,
27201,3.6189344,-30.3988921,6.352104,1,
27206,3.576634,-30.3989386,1.859994,1,
27260,3.5502615,-30.4014812,2.654145,3,2.654145
27343,3.6165801,-30.3987226,5.45815,1,
27356,3.5607918,-30.399622,0.847857,1,
27362,3.6216054,-30.3986672,5.303145,1,
27382,3.6144637,-30.39862,5.775273,1,
27397,3.6300374,-30.3992438,1.033215,1,
27415,3.5485657,-30.3989671,0.688507,1,
27422,3.5774694,-30.3995327,4.017131,1,
27439,3.5747711,-30.3989234,1.738432,1,
27440,3.5451357,-30.3985997,4.235397,1,
27453,3.5724583,-30.399265,5.051224,1,
27464,3.625092,-30.3984786,6.227453,1,
27511,3.5796649,-30.3986608,6.918751,1,
27519,3.5425116,-30.3983023,1.01397,1,
27671,3.6219098,-30.3987354,2.496051,2,2.496051
27673,3.580308,-30.3984318,4.484966,1,
27727,3.5554613,-30.3984318,2.287059,2,2.287059
27748,3.6062473,-30.3979846,2.289122,1,
27750,3.5853053,-30.397935,6.871953,1,
27799,3.5750766,-30.3996748,1.740568,1,
27800,3.5405434,-30.399543,2.984255,2,2.984255
27820,3.564121,-30.3984525,2.9826,1,
27828,3.568709,-30.3980978,2.655271,1,
27866,3.5683368,-30.3995058,2.582026,3,2.582026
27877,3.5822412,-30.3976824,4.960109,1,
