id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.16602-27.83611,53.16601657075725,-27.836112447004062,9.18,-9999.0,-,-19.22,28.09896410199816
JADES-GS-53.16613-27.80896,53.16612918314802,-27.80896172259626,8.55,-9999.0,-,-17.81,30.318994533593052
JADES-GS-53.16627-27.81377,53.16626956347005,-27.813766437689047,11.46,-9999.0,-,-17.79,30.082465401069296
JADES-GS-53.16635-27.82156,53.166346357455566,-27.821557310334644,12.46,12.534854,NIRSpec,-18.99,29.14661876839829
JADES-GS-53.16717-27.75152,53.167165565160154,-27.75151872998986,8.02,-9999.0,-,-17.56,29.239167658458353
JADES-GS-53.1672-27.74635,53.167195292692654,-27.746352245096027,11.21,-9999.0,-,-17.85,28.815861476144892
JADES-GS-53.16736-27.80751,53.1673572297023,-27.807507523105684,9.54,9.691435,NIRSpec,-19.48,28.510641801749557
JADES-GS-53.16764-27.80789,53.167639543948304,-27.807891906177563,9.19,-9999.0,-,-17.11,30.72222060519869
JADES-GS-53.16767-27.80017,53.167672607225136,-27.800167702176385,8.64,-9999.0,-,-18.12,29.940205601982797
JADES-GS-53.16834-27.75405,53.168336662220675,-27.7540499203016,8.01,-9999.0,-,-17.12,29.665865194660835
JADES-GS-53.16834-27.75004,53.168337264079994,-27.75003687081309,8.39,-9999.0,-,-17.23,30.124306078379337
JADES-GS-53.16863-27.79276,53.16862790912302,-27.792759402502732,11.71,-9999.0,-,-18.95,29.272590282977262
JADES-GS-53.16874-27.81698,53.1687381453339,-27.816975260874745,9.92,-9999.0,-,-17.95,29.383785953696584
JADES-GS-53.16913-27.80292,53.16913285477246,-27.802920818640597,9.1,-9999.0,-,-18.22,29.558676067968197
JADES-GS-53.16925-27.76129,53.169253759304205,-27.76128649588924,10.43,-9999.0,-,-16.70,30.519660715603372
JADES-GS-53.16952-27.83204,53.16951819599651,-27.832044199644244,9.01,-9999.0,-,-18.61,28.948075023884314
JADES-GS-53.16997-27.7385,53.16997100775421,-27.738497635040982,8.38,-9999.0,-,-17.20,30.250610052979585
JADES-GS-53.17016-27.82454,53.170158255176496,-27.824542106485275,10.7,-9999.0,-,-17.79,29.92429613693101
JADES-GS-53.17023-27.84071,53.1702307813618,-27.840709240073377,8.35,-9999.0,-,-18.09,29.04300545498692
JADES-GS-53.17037-27.79874,53.17037388469152,-27.798741457188846,9.21,-9999.0,-,-17.95,29.98541933361129
JADES-GS-53.17137-27.83865,53.171367138917624,-27.83864944359282,8.63,-9999.0,-,-18.26,29.687019300347437
JADES-GS-53.17153-27.84392,53.171530435070295,-27.843921912315363,9.92,-9999.0,-,-17.92,29.518158648357353
JADES-GS-53.17154-27.82974,53.171538011800266,-27.829738583636782,9.39,-9999.0,-,-18.61,29.465311907992582
JADES-GS-53.17271-27.73216,53.172707159536515,-27.73215989053252,8.5,-9999.0,-,-17.90,29.48658931070177
JADES-GS-53.17301-27.80085,53.173012793590715,-27.800851502773845,11.28,-9999.0,-,-18.12,30.55242087667628
JADES-GS-53.17345-27.81217,53.17344785499158,-27.81216584556932,9.58,-9999.0,-,-18.07,29.15169334495315
JADES-GS-53.17437-27.84004,53.174369911423334,-27.8400441639117,8.68,-9999.0,-,-18.44,29.565757309231547
JADES-GS-53.17468-27.82902,53.17467965360212,-27.829020440395745,8.64,-9999.0,-,-17.67,29.640320306839246
JADES-GS-53.17518-27.82818,53.175175956510536,-27.828175188771674,8.68,-9999.0,-,-17.24,29.879365065450205
JADES-GS-53.17551-27.78064,53.17551313054588,-27.78064137926327,9.66,9.712,NIRSpec,-20.00,27.72178260197824
JADES-GS-53.17558-27.77168,53.17557503186229,-27.771680957402154,9.36,-9999.0,-,-17.51,30.070421541250653
