id,ra,dec,zspec,zconf
mc1206-7140,181.55775,-8.7935,0.445,3
mc1206-7146,181.53477,-8.79337,3.9619,3
mc1206-7152,181.55322,-8.79346,0.5293,3
mc1206-7153,181.54789,-8.79335,0.4383,3
mc1206-7166,181.56532,-8.79355,2.0953,3
mc1206-7169,181.53455,-8.79388,3.9581,3
mc1206-7170,181.55385,-8.79361,0.5031,3
mc1206-7173,181.56588,-8.7931,0.4304,3
mc1206-7184,181.53758,-8.79366,0.4747,3
mc1206-7193,181.54868,-8.7937,3.3898,3
mc1206-7207,181.54975,-8.79391,0.4466,3
mc1206-7222,181.56819,-8.79324,2.0932,2
mc1206-7268,181.55238,-8.79439,0.4478,3
mc1206-7274,181.53555,-8.79428,0.9811,2
mc1206-7281,181.53934,-8.79439,0.4244,1
mc1206-7288,181.54782,-8.79441,0.433259,3
mc1206-7293,181.56822,-8.79461,1.6273,3
mc1206-7299,181.55189,-8.79477,2.5378,3
mc1206-7306,181.55101,-8.79471,0.0,3
mc1206-7317,181.55356,-8.79518,1.4253,3
mc1206-7325,181.54154,-8.79481,0.539,3
mc1206-7343,181.5531,-8.79485,0.4506,3
mc1206-7355,181.56208,-8.79488,4.050204,2
mc1206-7358,181.54678,-8.79502,0.4418,3
mc1206-7360,181.53271,-8.79505,1.2264,3
mc1206-7364,181.5408,-8.79538,1.0355,3
mc1206-7365,181.55238,-8.79497,2.5396,3
mc1206-7376,181.5334,-8.79541,1.0241,3
mc1206-7377,181.55241,-8.79539,2.541313,3
mc1206-7378,181.56385,-8.79535,2.0669,2
mc1206-7379,181.55247,-8.79526,2.542686,3
mc1206-7383,181.55201,-8.79516,2.5405,3
mc1206-7385,181.5456,-8.79524,0.4428,2
mc1206-7391,181.56398,-8.79535,0.4493,3
mc1206-7395,181.56405,-8.79556,0.4491,3
mc1206-7401,181.55486,-8.79581,0.422165,3
mc1206-7406,181.56542,-8.79555,0.420926,3
mc1206-7407,181.56833,-8.79544,0.353752,3
mc1206-7436,181.54494,-8.79548,0.438315,3
mc1206-7438,181.54631,-8.79556,0.4492,3
mc1206-7449,181.5509,-8.79546,1.4265,3
mc1206-7452,181.56878,-8.79581,0.4342,3
mc1206-7454,181.55057,-8.7957,1.4261,3
mc1206-7465,181.54522,-8.79585,0.5271,3
mc1206-7469,181.55059,-8.79558,1.4259,3
mc1206-7473,181.55366,-8.79574,1.4864,3
mc1206-7511,181.55736,-8.79616,0.4358,3
mc1206-7515,181.53195,-8.79639,0.9221,3
mc1206-7524,181.55872,-8.7962,2.505674,1
mc1206-7537,181.55615,-8.79641,0.434666,3
mc1206-7543,181.55651,-8.7965,0.4276,3
mc1206-7548,181.56699,-8.79638,0.5297,3
mc1206-7565,181.54997,-8.79636,1.426,3
mc1206-7570,181.56817,-8.79644,0.8081,3
mc1206-7571,181.56836,-8.79668,0.8082,3
mc1206-7572,181.53533,-8.79644,0.9816,2
mc1206-7575,181.54491,-8.79629,5.0415,2
mc1206-7580,181.55253,-8.79655,0.4421,3
mc1206-7594,181.5506,-8.79661,0.1076,1
mc1206-7600,181.56265,-8.79668,3.0375,3
mc1206-7605,181.54028,-8.79657,4.2906,3
mc1206-7611,181.53522,-8.79596,1.829555,2
mc1206-7620,181.54907,-8.79711,0.4196,3
mc1206-7626,181.56254,-8.79684,3.040508,3
mc1206-7629,181.53405,-8.79688,0.440534,3
mc1206-7630,181.54672,-8.79694,0.416,3
mc1206-7637,181.55537,-8.7967,4.0403,3
mc1206-7643,181.5413,-8.79681,0.4309,2
mc1206-7647,181.54891,-8.79689,0.4488,3
mc1206-7648,181.54055,-8.79646,0.52701,3
mc1206-7661,181.5632,-8.79692,4.7297,3
mc1206-7671,181.54016,-8.79696,1.0336,3
mc1206-7680,181.54816,-8.79703,1.4256,3
mc1206-7681,181.54409,-8.79708,5.7014,3
